icd10_id,icd10_lbl,mondo_id,mondo_lbl,hb_id,hb_lbl
Q242,Cor triatriatum,,,http://purl.obolibrary.org/obo/HP_0010774,Cor triatriatum
Q245,Malformation of coronary vessels,http://purl.obolibrary.org/obo/MONDO_0035249,obsolete anomalous aortic origin of the left coronary artery,,
Q246,Congenital heart block,http://purl.obolibrary.org/obo/MONDO_0009326,congenital heart block,,
Q248,Other specified congenital malformations of heart,http://purl.obolibrary.org/obo/MONDO_0021690,obsolete congenital left ventricular aneurysm,,
Q250,Patent ductus arteriosus,http://purl.obolibrary.org/obo/MONDO_0011827,patent ductus arteriosus,,
Q251,Coarctation of aorta,http://purl.obolibrary.org/obo/MONDO_0007345,aorta coarctation,,
Q252,Atresia of aorta,http://purl.obolibrary.org/obo/MONDO_0001863,aorta atresia,,
Q2521,Interruption of aortic arch,http://purl.obolibrary.org/obo/MONDO_0009010,aortic arch interruption,,
Q261,Persistent left superior vena cava,,,http://purl.obolibrary.org/obo/HP_0011670,Left superior vena cava draining to coronary sinus
Q268,Other congenital malformations of great veins,,,http://purl.obolibrary.org/obo/HP_0011626,Scimitar anomaly
Q271,Congenital renal artery stenosis,http://purl.obolibrary.org/obo/MONDO_0019993,congenital renal artery stenosis,,
Q300,Choanal atresia,http://purl.obolibrary.org/obo/MONDO_0012155,choanal atresia,,
Q311,Congenital subglottic stenosis,http://purl.obolibrary.org/obo/MONDO_0015395,congenital subglottic stenosis,,
Q313,Laryngocele,http://purl.obolibrary.org/obo/MONDO_0016530,laryngocele,,
Q315,Congenital laryngomalacia,http://purl.obolibrary.org/obo/MONDO_0007878,congenital laryngomalacia,,
Q351,Cleft hard palate,http://purl.obolibrary.org/obo/MONDO_0007336,isolated cleft palate,,
Q353,Cleft soft palate,http://purl.obolibrary.org/obo/MONDO_0007336,isolated cleft palate,,
Q381,Ankyloglossia,http://purl.obolibrary.org/obo/MONDO_0007125,ankyloglossia,,
Q383,Other congenital malformations of tongue,http://purl.obolibrary.org/obo/MONDO_0035410,isolated congenital aglossia,,
Q400,Congenital hypertrophic pyloric stenosis,http://purl.obolibrary.org/obo/MONDO_0001560,hypertrophic pyloric stenosis,,
Q401,Congenital hiatus hernia,http://purl.obolibrary.org/obo/MONDO_0001562,displacement of cardia through esophageal hiatus,,
Q444,Choledochal cyst,http://purl.obolibrary.org/obo/MONDO_0018805,bile duct cyst,,
Q446,Cystic disease of liver,http://purl.obolibrary.org/obo/MONDO_0000447,autosomal dominant polycystic liver disease,,
Q451,Annular pancreas,http://purl.obolibrary.org/obo/MONDO_0008183,annular pancreas,,
Q452,Congenital pancreatic cyst,http://purl.obolibrary.org/obo/MONDO_0017783,congenital pancreatic cyst,,
Q504,Embryonic cyst of fallopian tube,http://purl.obolibrary.org/obo/MONDO_0024652,embryonic cyst of fallopian tube,,
Q5211,Transverse vaginal septum,http://purl.obolibrary.org/obo/MONDO_0015850,transverse vaginal septum,,
Q523,Imperforate hymen,http://purl.obolibrary.org/obo/MONDO_0009375,"hymen, imperforate",,
Q56,Indeterminate sex and pseudohermaphroditism,http://purl.obolibrary.org/obo/MONDO_0005518,pseudohermaphroditism,,
Q563,"Pseudohermaphroditism, unspecified",http://purl.obolibrary.org/obo/MONDO_0005518,pseudohermaphroditism,,
Q600,"Renal agenesis, unilateral",http://purl.obolibrary.org/obo/MONDO_0019636,"renal agenesis, unilateral",,
Q601,"Renal agenesis, bilateral",http://purl.obolibrary.org/obo/MONDO_0015986,bilateral renal agenesis,,
Q603,"Renal hypoplasia, unilateral",http://purl.obolibrary.org/obo/MONDO_0019979,"renal hypoplasia, unilateral",,
Q604,"Renal hypoplasia, bilateral",http://purl.obolibrary.org/obo/MONDO_0007352,renal coloboma syndrome,,
Q606,Potter's syndrome,http://purl.obolibrary.org/obo/MONDO_0001558,Potter sequence,,
Q61,Cystic kidney disease,http://purl.obolibrary.org/obo/MONDO_0002473,cystic kidney disease,,
Q620,Congenital hydronephrosis,http://purl.obolibrary.org/obo/MONDO_0007741,congenital hydronephrosis,,
Q622,Congenital megaureter,http://purl.obolibrary.org/obo/MONDO_0035295,"congenital primary megaureter, refluxing and obstructed form",,
Q625,Duplication of ureter,,,http://purl.obolibrary.org/obo/HP_0012572,Ureter duplex
Q643,Other atresia and stenosis of urethra and bladder neck,http://purl.obolibrary.org/obo/MONDO_0015195,atresia of urethra,,
Q711,Congenital absence of upper arm and forearm with hand present,http://purl.obolibrary.org/obo/MONDO_0017441,congenital absence of upper arm and forearm with hand present,,
Q7113,"Congenital absence of upper arm and forearm with hand present, bilateral",http://purl.obolibrary.org/obo/MONDO_0017495,"obsolete congenital absence of upper arm and forearm with hand present, bilateral",,
Q712,Congenital absence of both forearm and hand,http://purl.obolibrary.org/obo/MONDO_0017443,congenital absence of both forearm and hand,,
Q7123,"Congenital absence of both forearm and hand, bilateral",http://purl.obolibrary.org/obo/MONDO_0017499,"congenital absence of both forearm and hand, bilateral",,
Q721,Congenital absence of thigh and lower leg with foot present,http://purl.obolibrary.org/obo/MONDO_0017442,congenital absence of thigh and lower leg with foot present,,
Q7213,"Congenital absence of thigh and lower leg with foot present, bilateral",http://purl.obolibrary.org/obo/MONDO_0017497,"congenital absence of thigh and lower leg with foot present, bilateral",,
Q722,Congenital absence of both lower leg and foot,http://purl.obolibrary.org/obo/MONDO_0017444,congenital absence of both lower leg and foot,,
Q7223,"Congenital absence of both lower leg and foot, bilateral",http://purl.obolibrary.org/obo/MONDO_0017501,"congenital absence of both lower leg and foot, bilateral",,
Q7273,"Split foot, bilateral",http://purl.obolibrary.org/obo/MONDO_0017514,"split foot, bilateral",,
Q750,Craniosynostosis,http://purl.obolibrary.org/obo/MONDO_0015469,craniosynostosis,,
Q761,Klippel-Feil syndrome,http://purl.obolibrary.org/obo/MONDO_0001029,Klippel-Feil syndrome,,
Q770,Achondrogenesis,http://purl.obolibrary.org/obo/MONDO_0019648,achondrogenesis,,
Q773,Chondrodysplasia punctata,http://purl.obolibrary.org/obo/MONDO_0007561,multiple epiphyseal dysplasia type 1,,
Q774,Achondroplasia,http://purl.obolibrary.org/obo/MONDO_0007037,Achondroplasia,,
Q775,Diastrophic dysplasia,http://purl.obolibrary.org/obo/MONDO_0009107,diastrophic dysplasia,,
Q777,Spondyloepiphyseal dysplasia,http://purl.obolibrary.org/obo/MONDO_0008471,spondyloepiphyseal dysplasia congenita,,
Q780,Osteogenesis imperfecta,http://purl.obolibrary.org/obo/MONDO_0009803,congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,,
Q781,Polyostotic fibrous dysplasia,http://purl.obolibrary.org/obo/MONDO_0008274,polyostotic fibrous dysplasia,,
Q785,Metaphyseal dysplasia,http://purl.obolibrary.org/obo/MONDO_0009943,Pyle disease,,
Q793,Gastroschisis,http://purl.obolibrary.org/obo/MONDO_0009264,gastroschisis,,
Q796,Ehlers-Danlos syndromes,http://purl.obolibrary.org/obo/MONDO_0020066,Ehlers-Danlos syndrome,,
Q80,Congenital ichthyosis,http://purl.obolibrary.org/obo/MONDO_0015947,inherited ichthyosis,,
Q800,Ichthyosis vulgaris,http://purl.obolibrary.org/obo/MONDO_0007809,"ichthyosis histrix, Lambert type",,
Q81,Epidermolysis bullosa,http://purl.obolibrary.org/obo/MONDO_0006541,epidermolysis bullosa,,
Q810,Epidermolysis bullosa simplex,http://purl.obolibrary.org/obo/MONDO_0017610,epidermolysis bullosa simplex,,
Q820,Hereditary lymphedema,http://purl.obolibrary.org/obo/MONDO_0007922,lymphedema-distichiasis syndrome,,
Q821,Xeroderma pigmentosum,http://purl.obolibrary.org/obo/MONDO_0016354,xeroderma pigmentosum-Cockayne syndrome complex,,
Q822,Congenital cutaneous mastocytosis,http://purl.obolibrary.org/obo/MONDO_0008876,Bloom syndrome,,
Q846,Other congenital malformations of nails,http://purl.obolibrary.org/obo/MONDO_0029051,obsolete autosomal recessive nail dysplasia,,
Q8502,"Neurofibromatosis, type 2",http://purl.obolibrary.org/obo/MONDO_0007039,NF2-related schwannomatosis,,
Q861,Fetal hydantoin syndrome,http://purl.obolibrary.org/obo/MONDO_0016008,fetal hydantoin syndrome,,
Q873,Congenital malformation syndromes involving early overgrowth,http://purl.obolibrary.org/obo/MONDO_0035592,congenital infiltrating lipomatosis of the face,,
Q8781,Alport syndrome,http://purl.obolibrary.org/obo/MONDO_0018965,Alport syndrome,,
Q8782,Arterial tortuosity syndrome,http://purl.obolibrary.org/obo/MONDO_0008818,arterial tortuosity syndrome,,
Q893,Situs inversus,http://purl.obolibrary.org/obo/MONDO_0010029,situs inversus,http://purl.obolibrary.org/obo/HP_0011538,Atrial situs inversus
Q933,Deletion of short arm of chromosome 4,http://purl.obolibrary.org/obo/MONDO_0008684,Wolf-Hirschhorn syndrome,,
Q9351,Angelman syndrome,http://purl.obolibrary.org/obo/MONDO_0007113,Angelman syndrome,,
