icd10_id,icd10_lbl,mondo_id,mondo_lbl,hb_id,hb_lbl
Q251,Coarctation of aorta,http://purl.obolibrary.org/obo/HP_0001680,Coarctation of aorta,http://purl.obolibrary.org/obo/HP_0001680,Coarctation of aorta
Q253,Supravalvular aortic stenosis,http://purl.obolibrary.org/obo/HP_0004381,Supravalvular aortic stenosis,http://purl.obolibrary.org/obo/HP_0004381,Supravalvular aortic stenosis
Q2545,Double aortic arch,,,http://purl.obolibrary.org/obo/HP_0011590,Double aortic arch
Q2547,Right aortic arch,,,http://purl.obolibrary.org/obo/HP_0012020,Right aortic arch
Q261,Persistent left superior vena cava,,,http://purl.obolibrary.org/obo/HP_0005301,Persistent left superior vena cava
Q262,Total anomalous pulmonary venous connection,,,http://purl.obolibrary.org/obo/HP_0005160,Total anomalous pulmonary venous connection
Q263,Partial anomalous pulmonary venous connection,,,http://purl.obolibrary.org/obo/HP_0010773,Partial anomalous pulmonary venous connection
Q300,Choanal atresia,http://purl.obolibrary.org/obo/HP_0000453,Choanal atresia,http://purl.obolibrary.org/obo/HP_0000453,Choanal atresia
Q312,Laryngeal hypoplasia,http://purl.obolibrary.org/obo/HP_0008749,Laryngeal hypoplasia,http://purl.obolibrary.org/obo/HP_0008749,Laryngeal hypoplasia
Q35,Cleft palate,http://purl.obolibrary.org/obo/HP_0000175,Cleft palate,http://purl.obolibrary.org/obo/HP_0000175,Cleft palate
Q351,Cleft hard palate,http://purl.obolibrary.org/obo/HP_0410005,Cleft hard palate,http://purl.obolibrary.org/obo/HP_0410005,Cleft hard palate
Q353,Cleft soft palate,http://purl.obolibrary.org/obo/HP_0000185,Cleft soft palate,http://purl.obolibrary.org/obo/HP_0000185,Cleft soft palate
Q357,Cleft uvula,,,http://purl.obolibrary.org/obo/HP_0000193,Cleft uvula
Q36,Cleft lip,http://purl.obolibrary.org/obo/HP_0410030,Cleft lip,http://purl.obolibrary.org/obo/HP_0410030,Cleft lip
Q381,Ankyloglossia,,,http://purl.obolibrary.org/obo/HP_0010296,Ankyloglossia
Q382,Macroglossia,http://purl.obolibrary.org/obo/HP_0000158,Macroglossia,http://purl.obolibrary.org/obo/HP_0000158,Macroglossia
Q394,Esophageal web,,,http://purl.obolibrary.org/obo/HP_0100594,Esophageal web
Q431,Hirschsprung's disease,http://purl.obolibrary.org/obo/MONDO_0018309,Hirschsprung's disease,,
Q435,Ectopic anus,http://purl.obolibrary.org/obo/HP_0004397,Ectopic anus,http://purl.obolibrary.org/obo/HP_0004397,Ectopic anus
Q437,Persistent cloaca,,,http://purl.obolibrary.org/obo/HP_0012621,Persistent cloaca
Q444,Choledochal cyst,,,http://purl.obolibrary.org/obo/HP_0100890,Choledochal cyst
Q451,Annular pancreas,,,http://purl.obolibrary.org/obo/HP_0001734,Annular pancreas
Q51820,Cervical duplication,,,http://purl.obolibrary.org/obo/HP_6000414,Cervical duplication
Q5211,Transverse vaginal septum,,,http://purl.obolibrary.org/obo/HP_0000145,Transverse vaginal septum
Q5212,Longitudinal vaginal septum,,,http://purl.obolibrary.org/obo/HP_0008740,Longitudinal vaginal septum
Q523,Imperforate hymen,,,http://purl.obolibrary.org/obo/HP_0030011,Imperforate hymen
Q530,Ectopic testis,,,http://purl.obolibrary.org/obo/HP_6000460,Ectopic testis
Q54,Hypospadias,http://purl.obolibrary.org/obo/HP_0000047,Hypospadias,http://purl.obolibrary.org/obo/HP_0000047,Hypospadias
Q5522,Retractile testis,,,http://purl.obolibrary.org/obo/HP_0012646,Retractile testis
Q5562,Hypoplasia of penis,http://purl.obolibrary.org/obo/HP_0008736,Hypoplasia of penis,http://purl.obolibrary.org/obo/HP_0008736,Hypoplasia of penis
Q606,Potter's syndrome,http://purl.obolibrary.org/obo/MONDO_0001558,Potter's syndrome,,
Q61,Cystic kidney disease,,,http://purl.obolibrary.org/obo/HP_0000107,Cystic kidney disease
Q614,Renal dysplasia,http://purl.obolibrary.org/obo/HP_0000110,Renal dysplasia,http://purl.obolibrary.org/obo/HP_0000110,Renal dysplasia
Q622,Congenital megaureter,,,http://purl.obolibrary.org/obo/HP_0008676,Congenital megaureter
Q632,Ectopic kidney,http://purl.obolibrary.org/obo/HP_0000086,Ectopic kidney,http://purl.obolibrary.org/obo/HP_0000086,Ectopic kidney
Q640,Epispadias,,,http://purl.obolibrary.org/obo/HP_0000039,Epispadias
Q664,Congenital talipes calcaneovalgus,,,http://purl.obolibrary.org/obo/HP_0005850,Congenital talipes calcaneovalgus
Q672,Dolichocephaly,,,http://purl.obolibrary.org/obo/HP_0000268,Dolichocephaly
Q673,Plagiocephaly,,,http://purl.obolibrary.org/obo/HP_0001357,Plagiocephaly
Q676,Pectus excavatum,http://purl.obolibrary.org/obo/HP_0000767,Pectus excavatum,http://purl.obolibrary.org/obo/HP_0000767,Pectus excavatum
Q677,Pectus carinatum,http://purl.obolibrary.org/obo/HP_0000768,Pectus carinatum,http://purl.obolibrary.org/obo/HP_0000768,Pectus carinatum
Q69,Polydactyly,http://purl.obolibrary.org/obo/HP_0010442,Polydactyly,http://purl.obolibrary.org/obo/HP_0010442,Polydactyly
Q70,Syndactyly,http://purl.obolibrary.org/obo/HP_0001159,Syndactyly,http://purl.obolibrary.org/obo/HP_0001159,Syndactyly
Q701,Webbed fingers,,,http://purl.obolibrary.org/obo/HP_0010554,Webbed fingers
Q702,Fused toes,,,http://purl.obolibrary.org/obo/HP_0001770,Fused toes
Q703,Webbed toes,,,http://purl.obolibrary.org/obo/HP_0001770,Webbed toes
Q727,Split foot,,,http://purl.obolibrary.org/obo/HP_0001839,Split foot
Q743,Arthrogryposis multiplex congenita,,,http://purl.obolibrary.org/obo/HP_0002804,Arthrogryposis multiplex congenita
Q750,Craniosynostosis,,,http://purl.obolibrary.org/obo/HP_0001363,Craniosynostosis
Q751,Craniofacial dysostosis,,,http://purl.obolibrary.org/obo/HP_0004439,Craniofacial dysostosis
Q752,Hypertelorism,http://purl.obolibrary.org/obo/HP_0000316,Hypertelorism,http://purl.obolibrary.org/obo/HP_0000316,Hypertelorism
Q753,Macrocephaly,http://purl.obolibrary.org/obo/HP_0000256,Macrocephaly,http://purl.obolibrary.org/obo/HP_0000256,Macrocephaly
Q754,Mandibulofacial dysostosis,,,http://purl.obolibrary.org/obo/HP_0005321,Mandibulofacial dysostosis
Q760,Spina bifida occulta,,,http://purl.obolibrary.org/obo/HP_0003298,Spina bifida occulta
Q761,Klippel-Feil syndrome,http://purl.obolibrary.org/obo/MONDO_0001029,Klippel-Feil syndrome,http://purl.obolibrary.org/obo/HP_0004602,Klippel-Feil syndrome
Q774,Achondroplasia,http://purl.obolibrary.org/obo/MONDO_0007037,Achondroplasia,,
Q776,Chondroectodermal dysplasia,http://purl.obolibrary.org/obo/MONDO_0009162,Chondroectodermal dysplasia,,
Q777,Spondyloepiphyseal dysplasia,,,http://purl.obolibrary.org/obo/HP_0002655,Spondyloepiphyseal dysplasia
Q781,Polyostotic fibrous dysplasia,,,http://purl.obolibrary.org/obo/HP_0010735,Polyostotic fibrous dysplasia
Q782,Osteopetrosis,http://purl.obolibrary.org/obo/HP_0011002,Osteopetrosis,http://purl.obolibrary.org/obo/HP_0011002,Osteopetrosis
Q785,Metaphyseal dysplasia,http://purl.obolibrary.org/obo/HP_0100255,Metaphyseal dysplasia,http://purl.obolibrary.org/obo/HP_0100255,Metaphyseal dysplasia
Q790,Congenital diaphragmatic hernia,http://purl.obolibrary.org/obo/HP_0000776,Congenital diaphragmatic hernia,http://purl.obolibrary.org/obo/HP_0000776,Congenital diaphragmatic hernia
Q792,Exomphalos,,,http://purl.obolibrary.org/obo/HP_0001539,Exomphalos
Q793,Gastroschisis,,,http://purl.obolibrary.org/obo/HP_0001543,Gastroschisis
Q796,Ehlers-Danlos syndromes,http://purl.obolibrary.org/obo/MONDO_0020066,Ehlers-Danlos syndromes,,
Q80,Congenital ichthyosis,,,http://purl.obolibrary.org/obo/HP_0007431,Congenital ichthyosis
Q801,X-linked ichthyosis,http://purl.obolibrary.org/obo/MONDO_0010622,X-linked ichthyosis,,
Q803,Congenital bullous ichthyosiform erythroderma,,,http://purl.obolibrary.org/obo/HP_0007475,Congenital bullous ichthyosiform erythroderma
Q804,Harlequin fetus,http://purl.obolibrary.org/obo/MONDO_0009443,Harlequin fetus,,
Q832,Absent nipple,http://purl.obolibrary.org/obo/HP_0002561,Absent nipple,http://purl.obolibrary.org/obo/HP_0002561,Absent nipple
Q833,Accessory nipple,,,http://purl.obolibrary.org/obo/HP_0002558,Accessory nipple
Q843,Anonychia,http://purl.obolibrary.org/obo/HP_0001798,Anonychia,http://purl.obolibrary.org/obo/HP_0001798,Anonychia
Q8503,Schwannomatosis,http://purl.obolibrary.org/obo/MONDO_0008075,Schwannomatosis,,
Q8711,Prader-Willi syndrome,http://purl.obolibrary.org/obo/MONDO_0008300,Prader-Willi syndrome,,
Q874,Marfan syndrome,http://purl.obolibrary.org/obo/MONDO_0007947,Marfan syndrome,,
Q8781,Alport syndrome,http://purl.obolibrary.org/obo/MONDO_0018965,Alport syndrome,,
Q893,Situs inversus,,,http://purl.obolibrary.org/obo/HP_0001696,Situs inversus
Q90,Down syndrome,http://purl.obolibrary.org/obo/MONDO_0008608,Down syndrome,,
Q9351,Angelman syndrome,http://purl.obolibrary.org/obo/MONDO_0007113,Angelman syndrome,,
Q9382,Williams syndrome,http://purl.obolibrary.org/obo/MONDO_0008678,Williams syndrome,,
