icd10_id,icd10_lbl
Q7289,Other reduction defects of lower limb
Q72891,Other reduction defects of right lower limb
Q72892,Other reduction defects of left lower limb
Q7291,Unspecified reduction defect of right lower limb
Q7292,Unspecified reduction defect of left lower limb
Q7293,"Unspecified reduction defect of lower limb, bilateral"
Q73,Reduction defects of unspecified limb
Q74,Other congenital malformations of limb(s)
Q75,Other congenital malformations of skull and face bones
Q76,Congenital malformations of spine and bony thorax
Q7641,Congenital kyphosis
Q76411,"Congenital kyphosis, occipito-atlanto-axial region"
Q76415,"Congenital kyphosis, thoracolumbar region"
Q7642,Congenital lordosis
Q76427,"Congenital lordosis, lumbosacral region"
Q76428,"Congenital lordosis, sacral and sacrococcygeal region"
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine
Q78,Other osteochondrodysplasias
Q79,"Congenital malformations of musculoskeletal system, not elsewhere classified"
Q80,Congenital ichthyosis
Q81,Epidermolysis bullosa
Q82,Other congenital malformations of skin
Q83,Congenital malformations of breast
Q84,Other congenital malformations of integument
Q85,"Phakomatoses, not elsewhere classified"
Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
Q87,Other specified congenital malformation syndromes affecting multiple systems
Q8741,Marfan syndrome with cardiovascular manifestations
Q89,"Other congenital malformations, not elsewhere classified"
Q90,Down syndrome
Q91,Trisomy 18 and Trisomy 13
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
Q9262,Marker chromosomes in abnormal individual
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified"
Q95,"Balanced rearrangements and structural markers, not elsewhere classified"
Q958,Other balanced rearrangements and structural markers
Q96,Turner's syndrome
Q960,"Karyotype 45, X"
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
Q99,"Other chromosome abnormalities, not elsewhere classified"
R3983,Unilateral non-palpable testicle
R3984,Bilateral non-palpable testicles
Z3760,"Multiple births, unspecified, some liveborn"
Z3769,"Other multiple births, some liveborn"
