icd10_id,icd10_lbl,mondo/hbo urls,mondo/hpo labels
Q626,Malposition of ureter,[],[]
Q6261,Deviation of ureter,[],[]
Q6263,Anomalous implantation of ureter,[],[]
Q6432,Congenital stricture of urethra,[],[]
Q645,Congenital absence of bladder and urethra,[],[]
Q6470,Unspecified congenital malformation of bladder and urethra,[],[]
Q6473,Congenital urethrorectal fistula,[],[]
Q6500,"Congenital dislocation of unspecified hip, unilateral",[],[]
Q6530,"Congenital partial dislocation of unspecified hip, unilateral",[],[]
Q662,Congenital metatarsus (primus) varus,[],[]
Q66211,"Congenital metatarsus primus varus, right foot",[],[]
Q66212,"Congenital metatarsus primus varus, left foot",[],[]
Q6622,Congenital metatarsus adductus,[],[]
Q66221,"Congenital metatarsus adductus, right foot",[],[]
Q66222,"Congenital metatarsus adductus, left foot",[],[]
Q66229,"Congenital metatarsus adductus, unspecified foot",[],[]
Q6650,"Congenital pes planus, unspecified foot",[],[]
Q6651,"Congenital pes planus, right foot",[],[]
Q6652,"Congenital pes planus, left foot",[],[]
Q669,"Congenital deformity of feet, unspecified",[],[]
Q683,Congenital bowing of femur,[],[]
Q685,"Congenital bowing of long bones of leg, unspecified",[],[]
Q686,Discoid meniscus,[],[]
Q7031,"Webbed toes, right foot",[],[]
Q7032,"Webbed toes, left foot",[],[]
Q712,Congenital absence of both forearm and hand,[],[]
Q7123,"Congenital absence of both forearm and hand, bilateral",[],[]
Q7143,"Longitudinal reduction defect of radius, bilateral",[],[]
Q715,Longitudinal reduction defect of ulna,[],[]
Q7151,Longitudinal reduction defect of right ulna,[],[]
Q7152,Longitudinal reduction defect of left ulna,[],[]
Q7153,"Longitudinal reduction defect of ulna, bilateral",[],[]
Q71819,Congenital shortening of unspecified upper limb,[],[]
Q71891,Other reduction defects of right upper limb,[],[]
Q71892,Other reduction defects of left upper limb,[],[]
Q719,Unspecified reduction defect of upper limb,[],[]
Q7221,"Congenital absence of both lower leg and foot, right lower limb",[],[]
Q7222,"Congenital absence of both lower leg and foot, left lower limb",[],[]
Q7223,"Congenital absence of both lower leg and foot, bilateral",[],[]
Q7231,Congenital absence of right foot and toe(s),[],[]
Q7232,Congenital absence of left foot and toe(s),[],[]
Q7242,Longitudinal reduction defect of left femur,[],[]
Q726,Longitudinal reduction defect of fibula,[],[]
Q7262,Longitudinal reduction defect of left fibula,[],[]
Q7263,"Longitudinal reduction defect of fibula, bilateral",[],[]
Q72819,Congenital shortening of unspecified lower limb,[],[]
Q755,Oculomandibular dysostosis,[],[]
Q76414,"Congenital kyphosis, thoracic region",[],[]
Q76419,"Congenital kyphosis, unspecified region",[],[]
Q76425,"Congenital lordosis, thoracolumbar region",[],[]
Q76426,"Congenital lordosis, lumbar region",[],[]
Q769,"Congenital malformation of bony thorax, unspecified",[],[]
Q795,Other congenital malformations of abdominal wall,[],[]
Q7951,Congenital hernia of bladder,[],[]
Q831,Accessory breast,[],[]
Q8503,Schwannomatosis,[],[]
Q912,"Trisomy 18, translocation",[],[]
Q916,"Trisomy 13, translocation",[],[]
Q920,"Whole chromosome trisomy, nonmosaicism (meiotic nondisjunction)",[],[]
Q9261,Marker chromosomes in normal individual,[],[]
Q930,"Whole chromosome monosomy, nonmosaicism (meiotic nondisjunction)",[],[]
Q931,"Whole chromosome monosomy, mosaicism (mitotic nondisjunction)",[],[]
Q9381,Velo-cardio-facial syndrome,[],[]
Q950,Balanced translocation and insertion in normal individual,[],[]
Q951,Chromosome inversion in normal individual,[],[]
Q952,Balanced autosomal rearrangement in abnormal individual,[],[]
Q953,Balanced sex/autosomal rearrangement in abnormal individual,[],[]
Q955,Individual with autosomal fragile site,[],[]
Q959,"Balanced rearrangement and structural marker, unspecified",[],[]
Q972,"Mosaicism, lines with various numbers of X chromosomes",[],[]
Q983,"Other male with 46, XX karyotype",[],[]
Q984,"Klinefelter syndrome, unspecified",[],[]
Q987,Male with sex chromosome mosaicism,[],[]
Q990,"Chimera 46, XX/46, XY",[],[]
Z371,Single stillbirth,[],[]
Z373,"Twins, one liveborn and one stillborn",[],[]
Z374,"Twins, both stillborn",[],[]
Z376,"Other multiple births, some liveborn",[],[]
Z3761,"Triplets, some liveborn",[],[]
Z3763,"Quintuplets, some liveborn",[],[]
Z377,"Other multiple births, all stillborn",[],[]
