icd10_id,icd10_lbl,mondo/hbo
E250,Congenital adrenogenital disorders associated with enzyme deficiency,"['http://purl.obolibrary.org/obo/MONDO_0008727', 'http://purl.obolibrary.org/obo/MONDO_0008725', 'http://purl.obolibrary.org/obo/MONDO_0008728', 'http://purl.obolibrary.org/obo/MONDO_0045008', 'http://purl.obolibrary.org/obo/MONDO_0045016', 'http://purl.obolibrary.org/obo/HP_0000840', 'http://purl.obolibrary.org/obo/MONDO_0008730', 'http://purl.obolibrary.org/obo/MONDO_0013310', 'http://purl.obolibrary.org/obo/MONDO_0018479', 'http://purl.obolibrary.org/obo/HP_0008258', 'http://purl.obolibrary.org/obo/HP_0000037', 'http://purl.obolibrary.org/obo/MONDO_0009123', 'http://purl.obolibrary.org/obo/MONDO_0013664', 'http://purl.obolibrary.org/obo/MONDO_0008751', 'http://purl.obolibrary.org/obo/MONDO_0008728', 'http://purl.obolibrary.org/obo/MONDO_0008729', 'http://purl.obolibrary.org/obo/MONDO_0017576', 'http://purl.obolibrary.org/obo/HP_0010458', 'http://purl.obolibrary.org/obo/MONDO_0015900', 'http://purl.obolibrary.org/obo/HP_0004319', 'http://purl.obolibrary.org/obo/MONDO_0010264', 'http://purl.obolibrary.org/obo/HP_0008244']"
E258,Other adrenogenital disorders,"['http://purl.obolibrary.org/obo/MONDO_0021752', 'http://purl.obolibrary.org/obo/MONDO_0015791', 'http://purl.obolibrary.org/obo/MONDO_0000088', 'http://purl.obolibrary.org/obo/HP_0000826', 'http://purl.obolibrary.org/obo/MONDO_0002145', 'http://purl.obolibrary.org/obo/HP_0010465']"
E259,"Adrenogenital disorder, unspecified","['http://purl.obolibrary.org/obo/MONDO_0001324', 'http://purl.obolibrary.org/obo/HP_0000840', 'http://purl.obolibrary.org/obo/MONDO_0015898', 'http://purl.obolibrary.org/obo/HP_0000840', 'http://purl.obolibrary.org/obo/MONDO_0045023', 'http://purl.obolibrary.org/obo/MONDO_0021752', 'http://purl.obolibrary.org/obo/MONDO_0009916']"
E343,Short stature due to endocrine disorder,"['http://purl.obolibrary.org/obo/MONDO_0016994', 'http://purl.obolibrary.org/obo/MONDO_0017350', 'http://purl.obolibrary.org/obo/MONDO_0009876', 'http://purl.obolibrary.org/obo/HP_0003510', 'http://purl.obolibrary.org/obo/HP_0000839', 'http://purl.obolibrary.org/obo/MONDO_1030010', 'http://purl.obolibrary.org/obo/MONDO_0010157', 'http://purl.obolibrary.org/obo/MONDO_0012104', 'http://purl.obolibrary.org/obo/HP_0003510', 'http://purl.obolibrary.org/obo/MONDO_0008743', 'http://purl.obolibrary.org/obo/HP_0004322', 'http://purl.obolibrary.org/obo/HP_0002750', 'http://purl.obolibrary.org/obo/MONDO_0009569', 'http://purl.obolibrary.org/obo/MONDO_0010038', 'http://purl.obolibrary.org/obo/MONDO_0009616', 'http://purl.obolibrary.org/obo/MONDO_0009649', 'http://purl.obolibrary.org/obo/MONDO_0007417', 'http://purl.obolibrary.org/obo/MONDO_0010217', 'http://purl.obolibrary.org/obo/MONDO_0016571', 'http://purl.obolibrary.org/obo/HP_0003361', 'http://purl.obolibrary.org/obo/MONDO_0021745', 'http://purl.obolibrary.org/obo/MONDO_0008872', 'http://purl.obolibrary.org/obo/MONDO_0014403', 'http://purl.obolibrary.org/obo/MONDO_0009858', 'http://purl.obolibrary.org/obo/HP_0000268', 'http://purl.obolibrary.org/obo/MONDO_0100211', 'http://purl.obolibrary.org/obo/MONDO_0014043', 'http://purl.obolibrary.org/obo/MONDO_0012110', 'http://purl.obolibrary.org/obo/MONDO_0017041', 'http://purl.obolibrary.org/obo/MONDO_0014420', 'http://purl.obolibrary.org/obo/MONDO_0005189', 'http://purl.obolibrary.org/obo/MONDO_0009877', 'http://purl.obolibrary.org/obo/MONDO_0017927', 'http://purl.obolibrary.org/obo/MONDO_0007277', 'http://purl.obolibrary.org/obo/MONDO_0008499']"
E345,Androgen insensitivity syndrome,"['http://purl.obolibrary.org/obo/MONDO_0021023', 'http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0010720']"
E3450,"Androgen insensitivity syndrome, unspecified","['http://purl.obolibrary.org/obo/HP_0000037', 'http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0010720']"
E3451,Complete androgen insensitivity syndrome,"['http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0021023']"
E3452,Partial androgen insensitivity syndrome,"['http://purl.obolibrary.org/obo/HP_0000037', 'http://purl.obolibrary.org/obo/MONDO_0010720', 'http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0005518']"
E7872,Smith-Lemli-Opitz syndrome,"['http://purl.obolibrary.org/obo/MONDO_0045008', 'http://purl.obolibrary.org/obo/MONDO_0045017', 'http://purl.obolibrary.org/obo/MONDO_0010035']"
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]","['http://purl.obolibrary.org/obo/MONDO_0009669', 'http://purl.obolibrary.org/obo/MONDO_0003182', 'http://purl.obolibrary.org/obo/HP_0006802', 'http://purl.obolibrary.org/obo/MONDO_0001516', 'http://purl.obolibrary.org/obo/HP_0007269']"
G121,Other inherited spinal muscular atrophy,"['http://purl.obolibrary.org/obo/MONDO_0010839', 'http://purl.obolibrary.org/obo/MONDO_0011436', 'http://purl.obolibrary.org/obo/MONDO_0009672', 'http://purl.obolibrary.org/obo/MONDO_0018894', 'http://purl.obolibrary.org/obo/MONDO_0016113', 'http://purl.obolibrary.org/obo/MONDO_0010056', 'http://purl.obolibrary.org/obo/MONDO_0008408', 'http://purl.obolibrary.org/obo/MONDO_0018687', 'http://purl.obolibrary.org/obo/MONDO_0008891', 'http://purl.obolibrary.org/obo/MONDO_0008890', 'http://purl.obolibrary.org/obo/MONDO_0010338', 'http://purl.obolibrary.org/obo/MONDO_0001516', 'http://purl.obolibrary.org/obo/HP_0007269', 'http://purl.obolibrary.org/obo/MONDO_0009673', 'http://purl.obolibrary.org/obo/MONDO_0010532', 'http://purl.obolibrary.org/obo/MONDO_0009072', 'http://purl.obolibrary.org/obo/HP_0001305', 'http://purl.obolibrary.org/obo/MONDO_0011585', 'http://purl.obolibrary.org/obo/MONDO_0100428', 'http://purl.obolibrary.org/obo/MONDO_0008045', 'http://purl.obolibrary.org/obo/MONDO_0021113']"
G129,"Spinal muscular atrophy, unspecified","['http://purl.obolibrary.org/obo/MONDO_0007435', 'http://purl.obolibrary.org/obo/HP_0002123', 'http://purl.obolibrary.org/obo/MONDO_0018894', 'http://purl.obolibrary.org/obo/MONDO_0001516', 'http://purl.obolibrary.org/obo/HP_0007269', 'http://purl.obolibrary.org/obo/MONDO_0008045']"
G600,Hereditary motor and sensory neuropathy,"['http://purl.obolibrary.org/obo/MONDO_0011527', 'http://purl.obolibrary.org/obo/MONDO_0008087', 'http://purl.obolibrary.org/obo/MONDO_0011687', 'http://purl.obolibrary.org/obo/MONDO_0011675', 'http://purl.obolibrary.org/obo/MONDO_0011909', 'http://purl.obolibrary.org/obo/MONDO_0012231', 'http://purl.obolibrary.org/obo/MONDO_0011998', 'http://purl.obolibrary.org/obo/MONDO_0019549', 'http://purl.obolibrary.org/obo/MONDO_0015354', 'http://purl.obolibrary.org/obo/MONDO_0013959', 'http://purl.obolibrary.org/obo/MONDO_0011890', 'http://purl.obolibrary.org/obo/MONDO_0011534', 'http://purl.obolibrary.org/obo/MONDO_0010550', 'http://purl.obolibrary.org/obo/MONDO_0012012', 'http://purl.obolibrary.org/obo/MONDO_0018993', 'http://purl.obolibrary.org/obo/MONDO_0013212', 'http://purl.obolibrary.org/obo/MONDO_0011091', 'http://purl.obolibrary.org/obo/MONDO_0016431', 'http://purl.obolibrary.org/obo/MONDO_0019941', 'http://purl.obolibrary.org/obo/MONDO_0010549', 'http://purl.obolibrary.org/obo/MONDO_0012640', 'http://purl.obolibrary.org/obo/MONDO_0007308', 'http://purl.obolibrary.org/obo/MONDO_0011894', 'http://purl.obolibrary.org/obo/MONDO_0020558', 'http://purl.obolibrary.org/obo/MONDO_0019011', 'http://purl.obolibrary.org/obo/MONDO_0008392', 'http://purl.obolibrary.org/obo/MONDO_0012096', 'http://purl.obolibrary.org/obo/MONDO_0011475', 'http://purl.obolibrary.org/obo/MONDO_0011961', 'http://purl.obolibrary.org/obo/MONDO_0010699', 'http://purl.obolibrary.org/obo/MONDO_0011633', 'http://purl.obolibrary.org/obo/MONDO_0011569', 'http://purl.obolibrary.org/obo/MONDO_0011889', 'http://purl.obolibrary.org/obo/MONDO_0014566', 'http://purl.obolibrary.org/obo/MONDO_0013753', 'http://purl.obolibrary.org/obo/HP_0001258', 'http://purl.obolibrary.org/obo/MONDO_0011903', 'http://purl.obolibrary.org/obo/MONDO_0008961', 'http://purl.obolibrary.org/obo/MONDO_0007790', 'http://purl.obolibrary.org/obo/MONDO_0011674', 'http://purl.obolibrary.org/obo/MONDO_0011901', 'http://purl.obolibrary.org/obo/MONDO_0011113', 'http://purl.obolibrary.org/obo/MONDO_0017762', 'http://purl.obolibrary.org/obo/MONDO_0010551', 'http://purl.obolibrary.org/obo/HP_0003477', 'http://purl.obolibrary.org/obo/MONDO_0011902', 'http://purl.obolibrary.org/obo/MONDO_0000902', 'http://purl.obolibrary.org/obo/MONDO_0011916', 'http://purl.obolibrary.org/obo/MONDO_0017940', 'http://purl.obolibrary.org/obo/MONDO_0010949', 'http://purl.obolibrary.org/obo/MONDO_0011066', 'http://purl.obolibrary.org/obo/MONDO_0018894', 'http://purl.obolibrary.org/obo/MONDO_0010689', 'http://purl.obolibrary.org/obo/MONDO_0011085', 'http://purl.obolibrary.org/obo/MONDO_0004183', 'http://purl.obolibrary.org/obo/HP_0003477', 'http://purl.obolibrary.org/obo/MONDO_0011197', 'http://purl.obolibrary.org/obo/MONDO_0014117', 'http://purl.obolibrary.org/obo/MONDO_0018994', 'http://purl.obolibrary.org/obo/MONDO_0015358', 'http://purl.obolibrary.org/obo/MONDO_0011570', 'http://purl.obolibrary.org/obo/MONDO_0010877', 'http://purl.obolibrary.org/obo/HP_0001605', 'http://purl.obolibrary.org/obo/MONDO_0008960', 'http://purl.obolibrary.org/obo/MONDO_0012250', 'http://purl.obolibrary.org/obo/HP_0007178', 'http://purl.obolibrary.org/obo/MONDO_0019405', 'http://purl.obolibrary.org/obo/MONDO_0007646', 'http://purl.obolibrary.org/obo/MONDO_0013758', 'http://purl.obolibrary.org/obo/MONDO_0018213', 'http://purl.obolibrary.org/obo/MONDO_0014733', 'http://purl.obolibrary.org/obo/MONDO_0019064', 'http://purl.obolibrary.org/obo/MONDO_0010479', 'http://purl.obolibrary.org/obo/MONDO_0019542', 'http://purl.obolibrary.org/obo/HP_0006554', 'http://purl.obolibrary.org/obo/MONDO_0003334', 'http://purl.obolibrary.org/obo/HP_0007108', 'http://purl.obolibrary.org/obo/MONDO_0018995']"
G601,Refsum's disease,"['http://purl.obolibrary.org/obo/MONDO_0019174', 'http://purl.obolibrary.org/obo/MONDO_0009958', 'http://purl.obolibrary.org/obo/MONDO_0019200', 'http://purl.obolibrary.org/obo/HP_0000580', 'http://purl.obolibrary.org/obo/MONDO_0019234']"
G602,Neuropathy in association with hereditary ataxia,"['http://purl.obolibrary.org/obo/MONDO_0012984', 'http://purl.obolibrary.org/obo/HP_0010871', 'http://purl.obolibrary.org/obo/MONDO_0005181', 'http://purl.obolibrary.org/obo/HP_0000590', 'http://purl.obolibrary.org/obo/MONDO_0011801', 'http://purl.obolibrary.org/obo/MONDO_0018996', 'http://purl.obolibrary.org/obo/HP_0000544', 'http://purl.obolibrary.org/obo/MONDO_0009493']"
G710,Muscular dystrophy,"['http://purl.obolibrary.org/obo/HP_0006785', 'http://purl.obolibrary.org/obo/HP_0003560', 'http://purl.obolibrary.org/obo/MONDO_0015551', 'http://purl.obolibrary.org/obo/MONDO_0011362', 'http://purl.obolibrary.org/obo/MONDO_0016830', 'http://purl.obolibrary.org/obo/MONDO_0004746', 'http://purl.obolibrary.org/obo/MONDO_0011028', 'http://purl.obolibrary.org/obo/MONDO_0018869', 'http://purl.obolibrary.org/obo/HP_0007260', 'http://purl.obolibrary.org/obo/MONDO_0600029', 'http://purl.obolibrary.org/obo/HP_0002091', 'http://purl.obolibrary.org/obo/MONDO_0011968', 'http://purl.obolibrary.org/obo/MONDO_0012034', 'http://purl.obolibrary.org/obo/MONDO_0018370', 'http://purl.obolibrary.org/obo/MONDO_0009675', 'http://purl.obolibrary.org/obo/MONDO_0008116', 'http://purl.obolibrary.org/obo/MONDO_0016097', 'http://purl.obolibrary.org/obo/MONDO_0016521', 'http://purl.obolibrary.org/obo/MONDO_0013686', 'http://purl.obolibrary.org/obo/MONDO_0018949', 'http://purl.obolibrary.org/obo/MONDO_0011423', 'http://purl.obolibrary.org/obo/MONDO_0013550', 'http://purl.obolibrary.org/obo/MONDO_0019950', 'http://purl.obolibrary.org/obo/MONDO_0012193', 'http://purl.obolibrary.org/obo/MONDO_0020121', 'http://purl.obolibrary.org/obo/HP_0003560', 'http://purl.obolibrary.org/obo/MONDO_0010181', 'http://purl.obolibrary.org/obo/MONDO_0010884', 'http://purl.obolibrary.org/obo/HP_0008970', 'http://purl.obolibrary.org/obo/MONDO_0010311', 'http://purl.obolibrary.org/obo/MONDO_0021569', 'http://purl.obolibrary.org/obo/MONDO_0018943', 'http://purl.obolibrary.org/obo/HP_0003715', 'http://purl.obolibrary.org/obo/MONDO_0012215', 'http://purl.obolibrary.org/obo/MONDO_0011925', 'http://purl.obolibrary.org/obo/MONDO_0021569', 'http://purl.obolibrary.org/obo/MONDO_0009683', 'http://purl.obolibrary.org/obo/MONDO_0012410', 'http://purl.obolibrary.org/obo/MONDO_0009676', 'http://purl.obolibrary.org/obo/MONDO_0010679', 'http://purl.obolibrary.org/obo/MONDO_0011271', 'http://purl.obolibrary.org/obo/MONDO_0008050', 'http://purl.obolibrary.org/obo/MONDO_0014900', 'http://purl.obolibrary.org/obo/MONDO_0012248', 'http://purl.obolibrary.org/obo/MONDO_0009678', 'http://purl.obolibrary.org/obo/MONDO_0011170', 'http://purl.obolibrary.org/obo/MONDO_0016971', 'http://purl.obolibrary.org/obo/MONDO_0001347', 'http://purl.obolibrary.org/obo/MONDO_0011910', 'http://purl.obolibrary.org/obo/MONDO_0009181', 'http://purl.obolibrary.org/obo/MONDO_0008029', 'http://purl.obolibrary.org/obo/MONDO_0011787', 'http://purl.obolibrary.org/obo/MONDO_0025193', 'http://purl.obolibrary.org/obo/MONDO_0000171', 'http://purl.obolibrary.org/obo/MONDO_0010870', 'http://purl.obolibrary.org/obo/MONDO_0012714']"
G7100,"Muscular dystrophy, unspecified","['http://purl.obolibrary.org/obo/MONDO_0018949', 'http://purl.obolibrary.org/obo/MONDO_0015551', 'http://purl.obolibrary.org/obo/MONDO_0600029', 'http://purl.obolibrary.org/obo/HP_0002091', 'http://purl.obolibrary.org/obo/MONDO_0009181', 'http://purl.obolibrary.org/obo/MONDO_0010870', 'http://purl.obolibrary.org/obo/MONDO_0020121', 'http://purl.obolibrary.org/obo/HP_0003560']"
G7101,Duchenne or Becker muscular dystrophy,"['http://purl.obolibrary.org/obo/MONDO_0016097', 'http://purl.obolibrary.org/obo/MONDO_0010679', 'http://purl.obolibrary.org/obo/MONDO_0010311']"
G7102,Facioscapulohumeral muscular dystrophy,"['http://purl.obolibrary.org/obo/MONDO_0001347', 'http://purl.obolibrary.org/obo/MONDO_0016971', 'http://purl.obolibrary.org/obo/MONDO_0010884', 'http://purl.obolibrary.org/obo/HP_0008970']"
G7109,Other specified muscular dystrophies,"['http://purl.obolibrary.org/obo/MONDO_0009676', 'http://purl.obolibrary.org/obo/MONDO_0019950', 'http://purl.obolibrary.org/obo/MONDO_0025193', 'http://purl.obolibrary.org/obo/MONDO_0013686', 'http://purl.obolibrary.org/obo/MONDO_0011170', 'http://purl.obolibrary.org/obo/MONDO_0011787', 'http://purl.obolibrary.org/obo/MONDO_0011362', 'http://purl.obolibrary.org/obo/MONDO_0016521', 'http://purl.obolibrary.org/obo/MONDO_0009675', 'http://purl.obolibrary.org/obo/MONDO_0011271', 'http://purl.obolibrary.org/obo/MONDO_0018281', 'http://purl.obolibrary.org/obo/MONDO_0014900', 'http://purl.obolibrary.org/obo/MONDO_0012410', 'http://purl.obolibrary.org/obo/MONDO_0011910', 'http://purl.obolibrary.org/obo/MONDO_0012193', 'http://purl.obolibrary.org/obo/MONDO_0016830', 'http://purl.obolibrary.org/obo/MONDO_0018370', 'http://purl.obolibrary.org/obo/MONDO_0011028', 'http://purl.obolibrary.org/obo/MONDO_0021569', 'http://purl.obolibrary.org/obo/MONDO_0012714', 'http://purl.obolibrary.org/obo/HP_0006785', 'http://purl.obolibrary.org/obo/MONDO_0009678', 'http://purl.obolibrary.org/obo/HP_0003560', 'http://purl.obolibrary.org/obo/MONDO_0018943', 'http://purl.obolibrary.org/obo/HP_0003715', 'http://purl.obolibrary.org/obo/MONDO_0011968', 'http://purl.obolibrary.org/obo/MONDO_0000171', 'http://purl.obolibrary.org/obo/MONDO_0021569', 'http://purl.obolibrary.org/obo/MONDO_0011925', 'http://purl.obolibrary.org/obo/MONDO_0010181', 'http://purl.obolibrary.org/obo/MONDO_0013550', 'http://purl.obolibrary.org/obo/MONDO_0011486', 'http://purl.obolibrary.org/obo/MONDO_0011423', 'http://purl.obolibrary.org/obo/MONDO_0008050', 'http://purl.obolibrary.org/obo/MONDO_0012215', 'http://purl.obolibrary.org/obo/MONDO_0012034', 'http://purl.obolibrary.org/obo/MONDO_0004746', 'http://purl.obolibrary.org/obo/MONDO_0008116', 'http://purl.obolibrary.org/obo/MONDO_0012248', 'http://purl.obolibrary.org/obo/MONDO_0018869', 'http://purl.obolibrary.org/obo/HP_0007260', 'http://purl.obolibrary.org/obo/HP_0001604']"
G711,Myotonic disorders,"['http://purl.obolibrary.org/obo/MONDO_0008055', 'http://purl.obolibrary.org/obo/MONDO_0020483', 'http://purl.obolibrary.org/obo/MONDO_0016107', 'http://purl.obolibrary.org/obo/MONDO_0008055', 'http://purl.obolibrary.org/obo/MONDO_0004495', 'http://purl.obolibrary.org/obo/MONDO_0020482', 'http://purl.obolibrary.org/obo/MONDO_0020481', 'http://purl.obolibrary.org/obo/MONDO_0009710', 'http://purl.obolibrary.org/obo/MONDO_0019399', 'http://purl.obolibrary.org/obo/MONDO_0008195', 'http://purl.obolibrary.org/obo/MONDO_0011634']"
G7111,Myotonic muscular dystrophy,['http://purl.obolibrary.org/obo/MONDO_0016107']
G7112,Myotonia congenita,"['http://purl.obolibrary.org/obo/MONDO_0008055', 'http://purl.obolibrary.org/obo/MONDO_0018959', 'http://purl.obolibrary.org/obo/MONDO_0009710', 'http://purl.obolibrary.org/obo/MONDO_0008055', 'http://purl.obolibrary.org/obo/MONDO_0020483']"
G7113,Myotonic chondrodystrophy,"['http://purl.obolibrary.org/obo/MONDO_0009717', 'http://purl.obolibrary.org/obo/MONDO_0009710']"
G7119,Other specified myotonic disorders,"['http://purl.obolibrary.org/obo/MONDO_0016110', 'http://purl.obolibrary.org/obo/MONDO_0020482', 'http://purl.obolibrary.org/obo/HP_0002486', 'http://purl.obolibrary.org/obo/HP_0003477', 'http://purl.obolibrary.org/obo/MONDO_0004495', 'http://purl.obolibrary.org/obo/MONDO_0019399', 'http://purl.obolibrary.org/obo/MONDO_0018959', 'http://purl.obolibrary.org/obo/MONDO_0004183', 'http://purl.obolibrary.org/obo/HP_0003477', 'http://purl.obolibrary.org/obo/MONDO_0008195', 'http://purl.obolibrary.org/obo/MONDO_0011634', 'http://purl.obolibrary.org/obo/MONDO_0020481', 'http://purl.obolibrary.org/obo/MONDO_0007646']"
G712,Congenital myopathies,"['http://purl.obolibrary.org/obo/MONDO_0000507', 'http://purl.obolibrary.org/obo/MONDO_0008058', 'http://purl.obolibrary.org/obo/MONDO_0019948', 'http://purl.obolibrary.org/obo/MONDO_0018943', 'http://purl.obolibrary.org/obo/HP_0003715', 'http://purl.obolibrary.org/obo/MONDO_0018958', 'http://purl.obolibrary.org/obo/MONDO_0010870', 'http://purl.obolibrary.org/obo/MONDO_0007294', 'http://purl.obolibrary.org/obo/MONDO_0015755', 'http://purl.obolibrary.org/obo/MONDO_0011925', 'http://purl.obolibrary.org/obo/MONDO_0007473', 'http://purl.obolibrary.org/obo/HP_0009921', 'http://purl.obolibrary.org/obo/MONDO_0009714', 'http://purl.obolibrary.org/obo/MONDO_0019949', 'http://purl.obolibrary.org/obo/MONDO_0010683', 'http://purl.obolibrary.org/obo/MONDO_0009678', 'http://purl.obolibrary.org/obo/MONDO_0009683', 'http://purl.obolibrary.org/obo/MONDO_0015753', 'http://purl.obolibrary.org/obo/MONDO_0018528', 'http://purl.obolibrary.org/obo/MONDO_0008048', 'http://purl.obolibrary.org/obo/MONDO_0014149', 'http://purl.obolibrary.org/obo/HP_0003560', 'http://purl.obolibrary.org/obo/MONDO_0018281', 'http://purl.obolibrary.org/obo/MONDO_0009798', 'http://purl.obolibrary.org/obo/MONDO_0020485', 'http://purl.obolibrary.org/obo/MONDO_0009722', 'http://purl.obolibrary.org/obo/MONDO_0008070', 'http://purl.obolibrary.org/obo/MONDO_0015705', 'http://purl.obolibrary.org/obo/MONDO_0018948', 'http://purl.obolibrary.org/obo/MONDO_0018949', 'http://purl.obolibrary.org/obo/MONDO_0009671', 'http://purl.obolibrary.org/obo/MONDO_0800437', 'http://purl.obolibrary.org/obo/MONDO_0000355', 'http://purl.obolibrary.org/obo/MONDO_0012714', 'http://purl.obolibrary.org/obo/MONDO_0013890', 'http://purl.obolibrary.org/obo/MONDO_0018947', 'http://purl.obolibrary.org/obo/MONDO_0000171', 'http://purl.obolibrary.org/obo/HP_0002304', 'http://purl.obolibrary.org/obo/MONDO_0008029', 'http://purl.obolibrary.org/obo/MONDO_0019950', 'http://purl.obolibrary.org/obo/MONDO_0011486']"
G7120,"Congenital myopathy, unspecified","['http://purl.obolibrary.org/obo/MONDO_0001029', 'http://purl.obolibrary.org/obo/HP_0004602']"
G7121,Nemaline myopathy,['http://purl.obolibrary.org/obo/MONDO_0018958']
G71220,X-linked myotubular myopathy,"['http://purl.obolibrary.org/obo/MONDO_0018947', 'http://purl.obolibrary.org/obo/MONDO_0010683']"
G71228,Other centronuclear myopathy,"['http://purl.obolibrary.org/obo/MONDO_0018947', 'http://purl.obolibrary.org/obo/MONDO_0015705', 'http://purl.obolibrary.org/obo/MONDO_0008048']"
G7129,Other congenital myopathy,"['http://purl.obolibrary.org/obo/MONDO_0013890', 'http://purl.obolibrary.org/obo/MONDO_0018948', 'http://purl.obolibrary.org/obo/MONDO_0009714', 'http://purl.obolibrary.org/obo/MONDO_0800437', 'http://purl.obolibrary.org/obo/MONDO_0008070', 'http://purl.obolibrary.org/obo/MONDO_0018943', 'http://purl.obolibrary.org/obo/HP_0003715', 'http://purl.obolibrary.org/obo/HP_0002304', 'http://purl.obolibrary.org/obo/MONDO_0009683', 'http://purl.obolibrary.org/obo/MONDO_0009671', 'http://purl.obolibrary.org/obo/MONDO_0019948', 'http://purl.obolibrary.org/obo/MONDO_0015755', 'http://purl.obolibrary.org/obo/MONDO_0008029', 'http://purl.obolibrary.org/obo/MONDO_0015753', 'http://purl.obolibrary.org/obo/MONDO_0018958', 'http://purl.obolibrary.org/obo/MONDO_0018528', 'http://purl.obolibrary.org/obo/MONDO_0007294', 'http://purl.obolibrary.org/obo/HP_0002804', 'http://purl.obolibrary.org/obo/MONDO_0008058', 'http://purl.obolibrary.org/obo/MONDO_0009798', 'http://purl.obolibrary.org/obo/MONDO_0019949', 'http://purl.obolibrary.org/obo/MONDO_0000507']"
G713,"Mitochondrial myopathy, not elsewhere classified","['http://purl.obolibrary.org/obo/HP_0000544', 'http://purl.obolibrary.org/obo/MONDO_0012557', 'http://purl.obolibrary.org/obo/MONDO_0014899', 'http://purl.obolibrary.org/obo/HP_0003737', 'http://purl.obolibrary.org/obo/MONDO_0010792', 'http://purl.obolibrary.org/obo/MONDO_0012301', 'http://purl.obolibrary.org/obo/MONDO_0016807', 'http://purl.obolibrary.org/obo/MONDO_0004675', 'http://purl.obolibrary.org/obo/MONDO_0013811', 'http://purl.obolibrary.org/obo/MONDO_0018002', 'http://purl.obolibrary.org/obo/MONDO_0006040', 'http://purl.obolibrary.org/obo/HP_0003128', 'http://purl.obolibrary.org/obo/MONDO_0010437', 'http://purl.obolibrary.org/obo/MONDO_0012792', 'http://purl.obolibrary.org/obo/MONDO_0005181', 'http://purl.obolibrary.org/obo/HP_0000590', 'http://purl.obolibrary.org/obo/MONDO_0017575', 'http://purl.obolibrary.org/obo/MONDO_0009068', 'http://purl.obolibrary.org/obo/MONDO_0015487', 'http://purl.obolibrary.org/obo/MONDO_0013546', 'http://purl.obolibrary.org/obo/MONDO_0014198', 'http://purl.obolibrary.org/obo/MONDO_0008922', 'http://purl.obolibrary.org/obo/MONDO_0000863', 'http://purl.obolibrary.org/obo/MONDO_0010789', 'http://purl.obolibrary.org/obo/MONDO_0013977']"
