icd10_id,icd10_lbl,mondo_id,mondo_lbl,mondo_score,hb_id,hb_lbl,hp_score
A5043,Late congenital syphilitic polyneuropathy,http://purl.obolibrary.org/obo/HP_0003584,Late onset,3,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A5044,Late congenital syphilitic optic nerve atrophy,http://purl.obolibrary.org/obo/HP_0000587,Abnormal optic nerve morphology,4,http://purl.obolibrary.org/obo/HP_0000587,Abnormal optic nerve morphology,4
A5045,Juvenile general paresis,http://purl.obolibrary.org/obo/CHEBI_38869,general anaesthetic,2,http://purl.obolibrary.org/obo/HP_0001118,Juvenile cataract,2
A5049,Other late congenital neurosyphilis,http://purl.obolibrary.org/obo/MONDO_0004944,late neurosyphilis,2,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A505,"Other late congenital syphilis, symptomatic",http://purl.obolibrary.org/obo/MONDO_0002896,"early syphilis, symptomatic",3,http://purl.obolibrary.org/obo/HP_0000270,Broad late closing cranial sutures,4
A5051,Clutton's joints,http://purl.obolibrary.org/obo/HP_0003037,Enlarged joints,1,http://purl.obolibrary.org/obo/HP_0001382,Extensible joints,1
A5052,Hutchinson's teeth,http://purl.obolibrary.org/obo/MONDO_0002443,grinding teeth,1,http://purl.obolibrary.org/obo/HP_0000164,Abnormal teeth,1
A5053,Hutchinson's triad,http://purl.obolibrary.org/obo/MONDO_0008305,Currarino triad,1,http://purl.obolibrary.org/obo/HP_0000001,All,2
A5054,Late congenital cardiovascular syphilis,http://purl.obolibrary.org/obo/MONDO_0000333,early congenital syphilis,2,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A5059,"Other late congenital syphilis, symptomatic",http://purl.obolibrary.org/obo/MONDO_0002896,"early syphilis, symptomatic",3,http://purl.obolibrary.org/obo/HP_0000270,Broad late closing cranial sutures,4
A506,"Late congenital syphilis, latent",http://purl.obolibrary.org/obo/HP_0003584,Late onset,3,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A507,"Late congenital syphilis, unspecified",http://purl.obolibrary.org/obo/HP_0003584,Late onset,3,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A509,"Congenital syphilis, unspecified",http://purl.obolibrary.org/obo/HP_0000776,Congenital diaphragmatic hernia,2,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,2
A925,Zika virus disease,http://purl.obolibrary.org/obo/MONDO_0018661,Zika virus disease,0,http://purl.obolibrary.org/obo/HP_0000107,Cystic kidney disease,2
D82,Immunodeficiency associated with other major defects,http://purl.obolibrary.org/obo/ENVO_01001058,environment associated with a fungal tissue,4,http://purl.obolibrary.org/obo/HP_0002640,Hypertension associated with pheochromocytoma,4
D821,Di George's syndrome,http://purl.obolibrary.org/obo/MONDO_0017858,Di Guglielmo syndrome,1,http://purl.obolibrary.org/obo/HP_0000012,Overactive bladder syndrome,2
E25,Adrenogenital disorders,http://purl.obolibrary.org/obo/MONDO_0000001,disorders,1,http://purl.obolibrary.org/obo/HP_0000708,Behavioral disorders,1
E250,Congenital adrenogenital disorders associated with enzyme deficiency,http://purl.obolibrary.org/obo/MONDO_0019020,paediatric autoimmune disorders associated with Streptococcus infections,4,http://purl.obolibrary.org/obo/HP_0001675,obsolete Rhythm disturbances associated with pheochromocytoma,5
E258,Other adrenogenital disorders,http://purl.obolibrary.org/obo/HP_5200283,Sleep-related breathing disorders,2,http://purl.obolibrary.org/obo/HP_0000708,Behavioral disorders,2
E259,"Adrenogenital disorder, unspecified",http://purl.obolibrary.org/obo/MONDO_0000009,"bleeding disorder, platelet-type",2,http://purl.obolibrary.org/obo/HP_0000840,Adrenogenital syndrome,2
E34,Other endocrine disorders,http://purl.obolibrary.org/obo/CHEBI_138015,endocrine disruptor,2,http://purl.obolibrary.org/obo/HP_0000708,Behavioral disorders,2
E343,Short stature due to endocrine disorder,http://purl.obolibrary.org/obo/MONDO_0014403,short stature due to GHSR deficiency,3,http://purl.obolibrary.org/obo/HP_0000061,Ambiguous genitalia due to virilization,4
E345,Androgen insensitivity syndrome,http://purl.obolibrary.org/obo/MONDO_0019154,androgen insensitivity syndrome,1,http://purl.obolibrary.org/obo/HP_0000012,Overactive bladder syndrome,2
E3450,"Androgen insensitivity syndrome, unspecified",http://purl.obolibrary.org/obo/MONDO_0010720,"androgen insensitivity syndrome, partial",2,http://purl.obolibrary.org/obo/HP_0007021,Pain insensitivity,3
E3451,Complete androgen insensitivity syndrome,http://purl.obolibrary.org/obo/MONDO_0010240,obsolete androgen insensitivity syndrome,1,http://purl.obolibrary.org/obo/HP_0000012,Overactive bladder syndrome,3
E3452,Partial androgen insensitivity syndrome,http://purl.obolibrary.org/obo/MONDO_0010240,obsolete androgen insensitivity syndrome,1,http://purl.obolibrary.org/obo/HP_0000012,Overactive bladder syndrome,3
E78,Disorders of lipoprotein metabolism and other lipidemias,http://purl.obolibrary.org/obo/MONDO_0017313,disorder of folate metabolism and transport,4,http://purl.obolibrary.org/obo/HP_0000175,Cleft of hard and soft palate,5
E7872,Smith-Lemli-Opitz syndrome,http://purl.obolibrary.org/obo/MONDO_0010035,Smith-Lemli-Opitz syndrome,0,http://purl.obolibrary.org/obo/HP_0000100,Nephrotic syndrome,1
G12,Spinal muscular atrophy and related syndromes,http://purl.obolibrary.org/obo/HP_0007269,Spinal muscular atrophy,3,http://purl.obolibrary.org/obo/HP_0007269,Spinal muscular atrophy,3
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",http://purl.obolibrary.org/obo/MONDO_0009669,"spinal muscular atrophy, type I",2,http://purl.obolibrary.org/obo/HP_0004384,Persistent truncus arteriosus type I,5
G121,Other inherited spinal muscular atrophy,http://purl.obolibrary.org/obo/HP_0006959,Proximal spinal muscular atrophy,2,http://purl.obolibrary.org/obo/HP_0006959,Proximal spinal muscular atrophy,2
G129,"Spinal muscular atrophy, unspecified",http://purl.obolibrary.org/obo/HP_0007269,Spinal muscular atrophy,2,http://purl.obolibrary.org/obo/HP_0007269,Spinal muscular atrophy,2
G60,Hereditary and idiopathic neuropathy,http://purl.obolibrary.org/obo/CHEBI_78616,carbohydrates and carbohydrate derivatives,3,http://purl.obolibrary.org/obo/HP_0000097,Focal and segmental glomerulosclerosis,3
G600,Hereditary motor and sensory neuropathy,http://purl.obolibrary.org/obo/MONDO_0002316,hereditary motor and sensory neuropathy,1,http://purl.obolibrary.org/obo/HP_0000763,Peripheral sensory neuropathy,3
G601,Refsum's disease,http://purl.obolibrary.org/obo/MONDO_0009958,Refsum's disease,0,http://purl.obolibrary.org/obo/HP_0000112,Kidney disease,1
G602,Neuropathy in association with hereditary ataxia,http://purl.obolibrary.org/obo/MONDO_0000557,obsolete hereditary ataxia,4,http://purl.obolibrary.org/obo/HP_0000019,Difficulty with flow,5
G71,Primary disorders of muscles,http://purl.obolibrary.org/obo/HP_0100249,Calcification of muscles,2,http://purl.obolibrary.org/obo/HP_0003634,Congenital absence of muscles,2
G710,Muscular dystrophy,http://purl.obolibrary.org/obo/HP_0003560,Muscular dystrophy,0,http://purl.obolibrary.org/obo/HP_0003560,Muscular dystrophy,0
G7100,"Muscular dystrophy, unspecified",http://purl.obolibrary.org/obo/HP_0003560,Muscular dystrophy,2,http://purl.obolibrary.org/obo/HP_0001252,Muscular hypotonia,2
G7101,Duchenne or Becker muscular dystrophy,http://purl.obolibrary.org/obo/MONDO_0010311,Becker muscular dystrophy,2,http://purl.obolibrary.org/obo/HP_0003560,Congenital muscular dystrophy,3
G7102,Facioscapulohumeral muscular dystrophy,http://purl.obolibrary.org/obo/MONDO_0000171,Walker-Warburg muscular dystrophy,1,http://purl.obolibrary.org/obo/HP_0003560,Congenital muscular dystrophy,1
G7109,Other specified muscular dystrophies,http://purl.obolibrary.org/obo/MONDO_0024965,animal muscular dystrophies,2,http://purl.obolibrary.org/obo/HP_0000185,Cleft muscular palate,3
G711,Myotonic disorders,http://purl.obolibrary.org/obo/MONDO_0000001,disorders,1,http://purl.obolibrary.org/obo/HP_0000708,Behavioral disorders,1
G7111,Myotonic muscular dystrophy,http://purl.obolibrary.org/obo/MONDO_0000171,Walker-Warburg muscular dystrophy,1,http://purl.obolibrary.org/obo/HP_0003560,Congenital muscular dystrophy,1
G7112,Myotonia congenita,http://purl.obolibrary.org/obo/HP_0002486,Myotonia,1,http://purl.obolibrary.org/obo/HP_0002486,Myotonia,1
G7113,Myotonic chondrodystrophy,http://purl.obolibrary.org/obo/MONDO_0008056,Myotonic Dystrophy,1,http://purl.obolibrary.org/obo/HP_0000001,All,2
G7119,Other specified myotonic disorders,http://purl.obolibrary.org/obo/HP_0008373,Puberty and gonadal disorders,3,http://purl.obolibrary.org/obo/HP_0000708,Behavioral disorders,3
G712,Congenital myopathies,http://purl.obolibrary.org/obo/HP_0003577,Congenital onset,1,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,1
G7120,"Congenital myopathy, unspecified",http://purl.obolibrary.org/obo/HP_0000776,Congenital diaphragmatic hernia,2,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,2
G7121,Nemaline myopathy,http://purl.obolibrary.org/obo/HP_0003737,Mitochondrial myopathy,1,http://purl.obolibrary.org/obo/HP_0003458,EMG: myopathy,1
G7122,Centronuclear myopathy,http://purl.obolibrary.org/obo/HP_0003737,Mitochondrial myopathy,1,http://purl.obolibrary.org/obo/HP_0003458,EMG: myopathy,1
G71220,X-linked myotubular myopathy,http://purl.obolibrary.org/obo/MONDO_0010683,X-linked myotubular myopathy,0,http://purl.obolibrary.org/obo/HP_0001417,X-linked inheritance,2
G71228,Other centronuclear myopathy,http://purl.obolibrary.org/obo/MONDO_0002921,centronuclear myopathy,1,http://purl.obolibrary.org/obo/HP_0003458,EMG: myopathy,2
G7129,Other congenital myopathy,http://purl.obolibrary.org/obo/MONDO_0000864,obsolete congenital myopathy,1,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,2
G713,"Mitochondrial myopathy, not elsewhere classified",http://purl.obolibrary.org/obo/HP_0001427,Mitochondrial inheritance,4,http://purl.obolibrary.org/obo/HP_0001427,Mitochondrial inheritance,4
G718,Other primary disorders of muscles,http://purl.obolibrary.org/obo/HP_0100249,Calcification of muscles,3,http://purl.obolibrary.org/obo/HP_0001276,Spasticity and rigidity of muscles,3
G719,"Primary disorder of muscle, unspecified",http://purl.obolibrary.org/obo/MONDO_0000226,disorder of mineral metabolism,3,http://purl.obolibrary.org/obo/HP_0012503,disorder of pituitary gland,3
G80,Cerebral palsy,http://purl.obolibrary.org/obo/HP_0002059,Cerebral atrophy,1,http://purl.obolibrary.org/obo/HP_0100021,Cerebral palsy,0
G901,Familial dysautonomia [Riley-Day],http://purl.obolibrary.org/obo/MONDO_0001292,dysautonomia,2,http://purl.obolibrary.org/obo/HP_0001426,Familial predisposition,2
K40,Inguinal hernia,http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,0,http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,0
K4000,"Bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0000902,"polyneuropathy, sensorimotor, with or without agenesis of the corpus callosum",9,http://purl.obolibrary.org/obo/HP_0007334,Bilateral tonic-clonic seizure with focal onset,9
K401,"Bilateral inguinal hernia, with gangrene",http://purl.obolibrary.org/obo/ECTO_0000486,exposure to chemical with application,4,http://purl.obolibrary.org/obo/HP_0000019,Difficulty with flow,4
K4010,"Bilateral inguinal hernia, with gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",7,http://purl.obolibrary.org/obo/HP_0007334,Bilateral tonic-clonic seizure with focal onset,7
K402,"Bilateral inguinal hernia, without obstruction or gangrene",http://purl.obolibrary.org/obo/FOODON_03315468,shellfish meat (whole or pieces),6,http://purl.obolibrary.org/obo/HP_0000074,Ureteropelvic junction obstruction,6
K4020,"Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",9,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",10
K403,"Unilateral inguinal hernia, with obstruction, without gangrene",http://purl.obolibrary.org/obo/MONDO_0005277,migraine with or without aura,5,http://purl.obolibrary.org/obo/HP_0000019,Difficulty with flow,6
K4030,"Unilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0000902,"polyneuropathy, sensorimotor, with or without agenesis of the corpus callosum",9,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",10
K4040,"Unilateral inguinal hernia, with gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",7,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",8
K409,"Unilateral inguinal hernia, without obstruction or gangrene",http://purl.obolibrary.org/obo/FOODON_03315468,shellfish meat (whole or pieces),6,http://purl.obolibrary.org/obo/HP_0000074,Ureteropelvic junction obstruction,6
K4090,"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",9,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",10
K41,Femoral hernia,http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,1,http://purl.obolibrary.org/obo/HP_0100541,Femoral hernia,0
K410,"Bilateral femoral hernia, with obstruction, without gangrene",http://purl.obolibrary.org/obo/MONDO_0005277,migraine with or without aura,5,http://purl.obolibrary.org/obo/HP_0007334,Bilateral tonic-clonic seizure with focal onset,5
K4100,"Bilateral femoral hernia, with obstruction, without gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0000902,"polyneuropathy, sensorimotor, with or without agenesis of the corpus callosum",9,http://purl.obolibrary.org/obo/HP_0007334,Bilateral tonic-clonic seizure with focal onset,9
K411,"Bilateral femoral hernia, with gangrene",http://purl.obolibrary.org/obo/ECTO_0000486,exposure to chemical with application,4,http://purl.obolibrary.org/obo/HP_0000019,Difficulty with flow,4
K4110,"Bilateral femoral hernia, with gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",7,http://purl.obolibrary.org/obo/HP_0007334,Bilateral tonic-clonic seizure with focal onset,7
K412,"Bilateral femoral hernia, without obstruction or gangrene",http://purl.obolibrary.org/obo/FOODON_03315468,shellfish meat (whole or pieces),6,http://purl.obolibrary.org/obo/HP_0000074,Ureteropelvic junction obstruction,6
K4120,"Bilateral femoral hernia, without obstruction or gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",9,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",10
K413,"Unilateral femoral hernia, with obstruction, without gangrene",http://purl.obolibrary.org/obo/MONDO_0005277,migraine with or without aura,5,http://purl.obolibrary.org/obo/HP_0000019,Difficulty with flow,6
K4130,"Unilateral femoral hernia, with obstruction, without gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0000902,"polyneuropathy, sensorimotor, with or without agenesis of the corpus callosum",9,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",10
K414,"Unilateral femoral hernia, with gangrene",http://purl.obolibrary.org/obo/ECTO_0000486,exposure to chemical with application,4,http://purl.obolibrary.org/obo/HP_0000019,Difficulty with flow,4
K4140,"Unilateral femoral hernia, with gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",7,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",8
K419,"Unilateral femoral hernia, without obstruction or gangrene",http://purl.obolibrary.org/obo/FOODON_03315468,shellfish meat (whole or pieces),6,http://purl.obolibrary.org/obo/HP_0000074,Ureteropelvic junction obstruction,6
K4190,"Unilateral femoral hernia, without obstruction or gangrene, not specified as recurrent",http://purl.obolibrary.org/obo/MONDO_0001837,"gonococcal salpingitis, specified as acute",9,http://purl.obolibrary.org/obo/HP_0000010,"Urinary tract infections, recurrent",10
L05,Pilonidal cyst and sinus,http://purl.obolibrary.org/obo/CHEBI_36360,phosphorus oxoacids and derivatives,3,http://purl.obolibrary.org/obo/HP_0010769,Pilonidal sinus,2
L059,Pilonidal cyst and sinus without abscess,http://purl.obolibrary.org/obo/MONDO_0001628,cellulitis and abscess,4,http://purl.obolibrary.org/obo/HP_0010769,Pilonidal sinus,4
L0591,Pilonidal cyst without abscess,http://purl.obolibrary.org/obo/HP_0000107,Renal cyst,3,http://purl.obolibrary.org/obo/HP_0010769,Pilonidal cyst,2
L0592,Pilonidal sinus without abscess,http://purl.obolibrary.org/obo/HP_0006784,Paranasal sinus hypoplasia,3,http://purl.obolibrary.org/obo/HP_0010769,Pilonidal sinus,2
L81,Other disorders of pigmentation,http://purl.obolibrary.org/obo/GO_0120305,regulation of pigmentation,2,http://purl.obolibrary.org/obo/HP_0001000,Abnormality of pigmentation,2
L813,Caf̩ au lait spots,http://purl.obolibrary.org/obo/MONDO_0007245,"cafe au lait spots, multiple",3,http://purl.obolibrary.org/obo/HP_0000957,Cafe au lait spots,1
L814,Other melanin hyperpigmentation,http://purl.obolibrary.org/obo/HP_0001106,Periorbital hyperpigmentation,2,http://purl.obolibrary.org/obo/HP_0000953,Cutaneous hyperpigmentation,2
L819,"Disorder of pigmentation, unspecified",http://purl.obolibrary.org/obo/MONDO_0002246,"perichondritis of pinna, unspecified",2,http://purl.obolibrary.org/obo/HP_0000271,Disorder of face,2
M26,Dentofacial anomalies [including malocclusion],http://purl.obolibrary.org/obo/MONDO_0000839,congenital anomalies of fetus,3,http://purl.obolibrary.org/obo/HP_0000069,Ureteral anomalies,3
M260,Major anomalies of jaw size,http://purl.obolibrary.org/obo/GO_0035150,regulation of tube size,3,http://purl.obolibrary.org/obo/HP_0000240,Abnormality of skull size,3
M2601,Maxillary hyperplasia,http://purl.obolibrary.org/obo/HP_0006277,Pancreatic hyperplasia,1,http://purl.obolibrary.org/obo/HP_0430028,Maxillary hyperplasia,0
M2602,Maxillary hypoplasia,http://purl.obolibrary.org/obo/HP_0000060,Clitoral hypoplasia,1,http://purl.obolibrary.org/obo/HP_0000327,Maxillary hypoplasia,0
M2603,Mandibular hyperplasia,http://purl.obolibrary.org/obo/HP_0006277,Pancreatic hyperplasia,1,http://purl.obolibrary.org/obo/HP_0000303,Mandibular hyperplasia,0
M2604,Mandibular hypoplasia,http://purl.obolibrary.org/obo/HP_0000060,Clitoral hypoplasia,1,http://purl.obolibrary.org/obo/HP_0000347,Mandibular hypoplasia,0
M2605,Macrogenia,http://identifiers.org/hgnc/10001,RGS5,1,http://purl.obolibrary.org/obo/HP_0000001,All,1
M2606,Microgenia,http://identifiers.org/hgnc/10001,RGS5,1,http://purl.obolibrary.org/obo/HP_0000001,All,1
M2609,Other specified anomalies of jaw size,http://purl.obolibrary.org/obo/GO_0035150,regulation of tube size,4,http://purl.obolibrary.org/obo/HP_0000187,Broad alveolar processes of jaw,4
M261,Anomalies of jaw-cranial base relationship,http://purl.obolibrary.org/obo/HP_0002694,Sclerosis of skull base,3,http://purl.obolibrary.org/obo/HP_0002693,Abnormality of cranial base,3
M2619,Other specified anomalies of jaw-cranial base relationship,http://purl.obolibrary.org/obo/HP_0002694,Sclerosis of skull base,5,http://purl.obolibrary.org/obo/HP_0002691,Increased basal angle of skull base,5
O364,Maternal care for intrauterine death,http://purl.obolibrary.org/obo/GO_0008219,cell death,4,http://purl.obolibrary.org/obo/HP_0001518,Small for gestational age,4
P02,"Newborn affected by complications of placenta, cord and membranes",http://purl.obolibrary.org/obo/CL_0002569,mesenchymal stem cell of umbilical cord,7,http://purl.obolibrary.org/obo/HP_0000972,Hyperkeratosis of palms and soles,7
P028,Newborn affected by other abnormalities of membranes,http://purl.obolibrary.org/obo/MONDO_0000293,infection by larvae of multiceps,5,http://purl.obolibrary.org/obo/HP_0001788,Premature rupture of membranes,5
P293,Persistent fetal circulation,http://purl.obolibrary.org/obo/MONDO_0009934,fetal circulation,1,http://purl.obolibrary.org/obo/HP_0011726,Persistent fetal circulation,0
P2930,Pulmonary hypertension of newborn,http://purl.obolibrary.org/obo/MONDO_0001207,respiratory failure of newborn,2,http://purl.obolibrary.org/obo/HP_0000005,Mode of inheritance,3
P2938,Other persistent fetal circulation,http://purl.obolibrary.org/obo/MONDO_0009934,persistent fetal circulation,1,http://purl.obolibrary.org/obo/HP_0011726,Persistent fetal circulation,2
P35,Congenital viral diseases,http://purl.obolibrary.org/obo/HP_0000776,Congenital diaphragmatic hernia,2,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,2
P350,Congenital rubella syndrome,http://purl.obolibrary.org/obo/MONDO_0017361,congenital rubella syndrome,1,http://purl.obolibrary.org/obo/HP_0006837,Congenital Horner syndrome,1
P351,Congenital cytomegalovirus infection,http://purl.obolibrary.org/obo/MONDO_0005132,cytomegalovirus infection,1,http://purl.obolibrary.org/obo/HP_0031692,Severe cytomegalovirus infection,1
P352,Congenital herpesviral [herpes simplex] infection,http://purl.obolibrary.org/obo/HP_0000776,Congenital diaphragmatic hernia,4,http://purl.obolibrary.org/obo/HP_0000246,Sinus infection,4
P353,Congenital viral hepatitis,http://purl.obolibrary.org/obo/MONDO_0006011,viral hepatitis,1,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,2
P354,Congenital Zika virus disease,http://purl.obolibrary.org/obo/MONDO_0018661,Zika virus disease,1,http://purl.obolibrary.org/obo/HP_0000107,Cystic kidney disease,3
P358,Other congenital viral diseases,http://purl.obolibrary.org/obo/HP_0031691,Severe viral infection,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
P359,"Congenital viral disease, unspecified",http://purl.obolibrary.org/obo/HP_0000776,Congenital diaphragmatic hernia,3,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,3
P37,Other congenital infectious and parasitic diseases,http://purl.obolibrary.org/obo/MONDO_0001517,infectious diarrheal diseases,4,http://purl.obolibrary.org/obo/HP_0000097,Focal and segmental glomerulosclerosis,5
P370,Congenital tuberculosis,http://purl.obolibrary.org/obo/HP_0003577,Congenital onset,1,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,1
P371,Congenital toxoplasmosis,http://purl.obolibrary.org/obo/HP_0003577,Congenital onset,1,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,1
P95,Stillbirth,http://purl.obolibrary.org/obo/HP_0003826,Stillbirth,0,http://purl.obolibrary.org/obo/HP_0003826,Stillbirth,0
P96,Other conditions originating in the perinatal period,http://purl.obolibrary.org/obo/MONDO_0002929,"primary atelectasis, in perinatal period",4,http://purl.obolibrary.org/obo/HP_0000360,Ringing in the ears,5
P961,Neonatal withdrawal symptoms from maternal use of drugs of addiction,http://purl.obolibrary.org/obo/CL_0002243,smooth muscle cell of sphincter of pupil,8,http://purl.obolibrary.org/obo/HP_0000190,Abnormality of frenum of tongue,8
Q00,Anencephaly and similar malformations,http://purl.obolibrary.org/obo/CHEBI_78616,carbohydrates and carbohydrate derivatives,3,http://purl.obolibrary.org/obo/HP_0000097,Focal and segmental glomerulosclerosis,3
Q000,Anencephaly,http://identifiers.org/hgnc/10001,RGS5,1,http://purl.obolibrary.org/obo/HP_0002323,Anencephaly,0
Q001,Craniorachischisis,http://identifiers.org/hgnc/10001,RGS5,1,http://purl.obolibrary.org/obo/HP_0030770,Craniorachischisis,0
Q002,Iniencephaly,http://identifiers.org/hgnc/10001,RGS5,1,http://purl.obolibrary.org/obo/HP_0034205,Iniencephaly,0
Q01,Encephalocele,http://purl.obolibrary.org/obo/MONDO_0016057,Encephalocele,0,http://purl.obolibrary.org/obo/HP_0002084,Encephalocele,0
