icd10_id,icd10_lbl,mondo/hbo urls,mondo/hpo labels
Q181,Preauricular sinus and cyst,"['http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/HP_0004467', 'http://purl.obolibrary.org/obo/HP_0009795', 'http://purl.obolibrary.org/obo/HP_0004467', 'http://purl.obolibrary.org/obo/HP_0004467']","['obsolete hypertelorism', 'Hypertelorism', 'Preauricular pit', 'Branchial fistula', 'Preauricular pit', 'Preauricular pit']"
Q182,Other branchial cleft malformations,"['http://purl.obolibrary.org/obo/HP_0009796', 'http://purl.obolibrary.org/obo/MONDO_0015419', 'http://purl.obolibrary.org/obo/MONDO_0008740']","['Branchial cyst', 'midline cervical cleft', 'agnathia-otocephaly complex']"
Q183,Webbing of neck,"['http://purl.obolibrary.org/obo/HP_0000465', 'http://purl.obolibrary.org/obo/HP_0002557', 'http://purl.obolibrary.org/obo/HP_0003187', 'http://purl.obolibrary.org/obo/MONDO_0017315', 'http://purl.obolibrary.org/obo/MONDO_0010835']","['Webbed neck', 'Hypoplastic nipples', 'Breast hypoplasia', 'short stature-webbed neck-heart disease syndrome', 'pterygium colli-intellectual disability-digital anomalies syndrome']"
Q184,Macrostomia,"['http://purl.obolibrary.org/obo/MONDO_0013300', 'http://purl.obolibrary.org/obo/HP_0000154', 'http://purl.obolibrary.org/obo/HP_0011224', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0008693']","['commissural facial cleft', 'Wide mouth', 'Ablepharon', 'obsolete hypertelorism', 'Hypertelorism', 'ablepharon macrostomia syndrome']"
Q185,Microstomia,['http://purl.obolibrary.org/obo/HP_0000160'],['Narrow mouth']
Q187,Microcheilia,['http://purl.obolibrary.org/obo/HP_0000160'],['Narrow mouth']
Q188,Other specified congenital malformations of face and neck,"['http://purl.obolibrary.org/obo/MONDO_0008165', 'http://purl.obolibrary.org/obo/HP_0004445', 'http://purl.obolibrary.org/obo/HP_0009939', 'http://purl.obolibrary.org/obo/MONDO_0007235', 'http://purl.obolibrary.org/obo/MONDO_0014609', 'http://purl.obolibrary.org/obo/MONDO_0007778', 'http://purl.obolibrary.org/obo/HP_0000316', 'http://purl.obolibrary.org/obo/MONDO_0015411', 'http://purl.obolibrary.org/obo/HP_0002006', 'http://purl.obolibrary.org/obo/MONDO_0014382', 'http://purl.obolibrary.org/obo/MONDO_0010920', 'http://purl.obolibrary.org/obo/HP_0008551', 'http://purl.obolibrary.org/obo/MONDO_0007711', 'http://purl.obolibrary.org/obo/HP_0010730', 'http://purl.obolibrary.org/obo/MONDO_0015379', 'http://purl.obolibrary.org/obo/MONDO_0015672', 'http://purl.obolibrary.org/obo/MONDO_0009507', 'http://purl.obolibrary.org/obo/MONDO_0015380', 'http://purl.obolibrary.org/obo/MONDO_0010039', 'http://purl.obolibrary.org/obo/MONDO_0011723', 'http://purl.obolibrary.org/obo/HP_0005323', 'http://purl.obolibrary.org/obo/HP_0002223', 'http://purl.obolibrary.org/obo/HP_0000664', 'http://purl.obolibrary.org/obo/MONDO_0007846', 'http://purl.obolibrary.org/obo/MONDO_0009404', 'http://purl.obolibrary.org/obo/MONDO_0015397', 'http://purl.obolibrary.org/obo/MONDO_0010263']","['southeast Asian ovalocytosis', 'Elliptocytosis', 'Mandibular aplasia', 'branchiooculofacial syndrome', 'cognitive impairment - coarse facies - heart defects - obesity - pulmonary involvement - short stature - skeletal dysplasia syndrome', 'obsolete hypertelorism', 'Hypertelorism', 'facial cleft', 'Tessier cleft', 'Tatton-Brown-Rahman overgrowth syndrome', 'microtia', 'Microtia', 'Bencze syndrome', 'Double eyebrow', 'cervical dermoid cyst', 'diprosopus', 'Lambert syndrome', 'facial dermoid cyst', 'congenital heart defect-round face-developmental delay syndrome', 'hemifacial myohyperplasia', 'Hemifacial hypertrophy', 'Absent eyebrow', 'Synophrys', 'KBG syndrome', 'hypertelorism, microtia, facial clefting syndrome', 'craniofacial microsomia', 'Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome']"
Q189,"Congenital malformation of face and neck, unspecified","['http://purl.obolibrary.org/obo/HP_0000169', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0017951', 'http://purl.obolibrary.org/obo/MONDO_0009740', 'http://purl.obolibrary.org/obo/HP_0000464', 'http://purl.obolibrary.org/obo/MONDO_0015375', 'http://purl.obolibrary.org/obo/MONDO_0016070', 'http://purl.obolibrary.org/obo/HP_0000169', 'http://purl.obolibrary.org/obo/MONDO_0017356', 'http://purl.obolibrary.org/obo/MONDO_0009205', 'http://purl.obolibrary.org/obo/MONDO_0008490', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0009795', 'http://purl.obolibrary.org/obo/HP_0002750', 'http://purl.obolibrary.org/obo/MONDO_0008975', 'http://purl.obolibrary.org/obo/MONDO_0007428', 'http://purl.obolibrary.org/obo/MONDO_0011899', 'http://purl.obolibrary.org/obo/MONDO_0003233', 'http://purl.obolibrary.org/obo/HP_0030186', 'http://purl.obolibrary.org/obo/HP_0001999', 'http://purl.obolibrary.org/obo/MONDO_0011402', 'http://purl.obolibrary.org/obo/MONDO_0010908', 'http://purl.obolibrary.org/obo/HP_0000085', 'http://purl.obolibrary.org/obo/MONDO_0017316']","['Gingival fibromatosis', 'Abnormal facial shape', 'trichorhinophalangeal syndrome', 'neurofaciodigitorenal syndrome', 'Abnormality of the neck', 'orofaciodigital syndrome', 'hereditary gingival fibromatosis', 'Gingival fibromatosis', 'inborn disorder of ornithine metabolism', 'faciocardiorenal syndrome', 'otospondylomegaepiphyseal dysplasia, autosomal dominant', 'Abnormal facial shape', 'orofaciodigital syndrome IX', 'Delayed skeletal maturation', 'otospondylomegaepiphyseal dysplasia', 'deafness-craniofacial syndrome', 'Noonan syndrome-like disorder with loose anagen hair', 'essential tremor', 'Kinetic tremor', 'Abnormal facial shape', 'congenital cataracts-facial dysmorphism-neuropathy syndrome', 'loose anagen syndrome', 'Horseshoe kidney', 'short stature-deafness-neutrophil dysfunction-dysmorphism syndrome']"
Q200,Common arterial trunk,"['http://purl.obolibrary.org/obo/MONDO_0020007', 'http://purl.obolibrary.org/obo/HP_0004960', 'http://purl.obolibrary.org/obo/MONDO_0016581', 'http://purl.obolibrary.org/obo/HP_0011611']","['absence of the pulmonary artery', 'Absent pulmonary artery', 'conotruncal heart malformations', 'Interrupted aortic arch']"
Q201,Double outlet right ventricle,"['http://purl.obolibrary.org/obo/HP_0001719', 'http://purl.obolibrary.org/obo/HP_0011651', 'http://purl.obolibrary.org/obo/MONDO_0020387', 'http://purl.obolibrary.org/obo/MONDO_0020386']","['Double outlet right ventricle', 'Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis', 'double outlet right ventricle with subpulmonary ventricular septal defect', 'double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis']"
Q202,Double outlet left ventricle,"['http://purl.obolibrary.org/obo/MONDO_0018090', 'http://purl.obolibrary.org/obo/HP_0011581']","['double outlet left ventricle', 'Double outlet left ventricle']"
Q203,Discordant ventriculoarterial connection,"['http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0018089', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0020417', 'http://purl.obolibrary.org/obo/HP_0012020', 'http://purl.obolibrary.org/obo/MONDO_0016301', 'http://purl.obolibrary.org/obo/HP_0011540']","['Transposition of the great arteries', 'double outlet right ventricle', 'Transposition of the great arteries', 'right aortic arch', 'Right aortic arch', 'congenitally corrected transposition of the great arteries', 'Congenitally corrected transposition of the great arteries']"
Q204,Double inlet ventricle,"['http://purl.obolibrary.org/obo/MONDO_0017866', 'http://purl.obolibrary.org/obo/MONDO_0002078', 'http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/HP_0001750', 'http://purl.obolibrary.org/obo/HP_0011556', 'http://purl.obolibrary.org/obo/MONDO_0015451', 'http://purl.obolibrary.org/obo/HP_0011555']","['subpulmonary stenosis', 'heart septal defect', 'Abnormal cardiac septum morphology', 'Single ventricle', 'Double inlet right ventricle', 'univentricular heart', 'Double inlet left ventricle']"
Q205,Discordant atrioventricular connection,"['http://purl.obolibrary.org/obo/HP_0011552', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0016301', 'http://purl.obolibrary.org/obo/HP_0011540', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011546', 'http://purl.obolibrary.org/obo/HP_0011553']","['Ambiguous atrioventricular connection', 'Transposition of the great arteries', 'congenitally corrected transposition of the great arteries', 'Congenitally corrected transposition of the great arteries', 'Ebstein anomaly of the tricuspid valve', 'Abnormal atrioventricular connection', 'Discordant atrioventricular connection']"
Q206,Isomerism of atrial appendages,"['http://purl.obolibrary.org/obo/MONDO_0010029', 'http://purl.obolibrary.org/obo/HP_0030853']","['situs inversus', 'Heterotaxy']"
Q208,Other congenital malformations of cardiac chambers and connections,"['http://purl.obolibrary.org/obo/HP_0011103', 'http://purl.obolibrary.org/obo/HP_0011547', 'http://purl.obolibrary.org/obo/MONDO_0022859', 'http://purl.obolibrary.org/obo/HP_0011621', 'http://purl.obolibrary.org/obo/HP_0011548', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/MONDO_0011514', 'http://purl.obolibrary.org/obo/HP_0011662', 'http://purl.obolibrary.org/obo/MONDO_0002078', 'http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/MONDO_0015666', 'http://purl.obolibrary.org/obo/HP_0001707', 'http://purl.obolibrary.org/obo/HP_0011539', 'http://purl.obolibrary.org/obo/MONDO_0015249', 'http://purl.obolibrary.org/obo/HP_0011560', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011535', 'http://purl.obolibrary.org/obo/HP_0011565', 'http://purl.obolibrary.org/obo/MONDO_0010179', 'http://purl.obolibrary.org/obo/HP_0001711']","['Abnormal left ventricular outflow tract morphology', 'Absent left sided atrioventricular connection', 'cor biloculare', 'Gerbode ventricular septal defect', 'Absent right sided atrioventricular connection', 'Transposition of the great arteries', 'tricuspid atresia', 'Tricuspid atresia', 'heart septal defect', 'Abnormal cardiac septum morphology', 'familial idiopathic dilatation of the right atrium', 'Abnormal right ventricle morphology', 'Atrial situs ambiguous', 'mitral atresia disorder', 'Mitral atresia', 'Ebstein anomaly of the tricuspid valve', 'Abnormal atrial arrangement', 'Common atrium', 'isolated right ventricular hypoplasia', 'Abnormal left ventricle morphology']"
Q210,Ventricular septal defect,"['http://purl.obolibrary.org/obo/HP_0011682', 'http://purl.obolibrary.org/obo/MONDO_0800107', 'http://purl.obolibrary.org/obo/HP_0011681', 'http://purl.obolibrary.org/obo/HP_0001719', 'http://purl.obolibrary.org/obo/HP_0011623', 'http://purl.obolibrary.org/obo/HP_0011621', 'http://purl.obolibrary.org/obo/HP_0001669', 'http://purl.obolibrary.org/obo/HP_0010882', 'http://purl.obolibrary.org/obo/MONDO_0020387', 'http://purl.obolibrary.org/obo/HP_0011684', 'http://purl.obolibrary.org/obo/HP_0001629', 'http://purl.obolibrary.org/obo/MONDO_0008343', 'http://purl.obolibrary.org/obo/MONDO_0002070', 'http://purl.obolibrary.org/obo/HP_0001629', 'http://purl.obolibrary.org/obo/MONDO_0020386', 'http://purl.obolibrary.org/obo/MONDO_0020064', 'http://purl.obolibrary.org/obo/HP_0005134', 'http://purl.obolibrary.org/obo/HP_0011683', 'http://purl.obolibrary.org/obo/HP_0011547', 'http://purl.obolibrary.org/obo/MONDO_0017866', 'http://purl.obolibrary.org/obo/MONDO_0020290', 'http://purl.obolibrary.org/obo/HP_0006695', 'http://purl.obolibrary.org/obo/MONDO_0020427', 'http://purl.obolibrary.org/obo/HP_0011651', 'http://purl.obolibrary.org/obo/MONDO_0020428']","['Perimembranous ventricular septal defect', 'anterior deviation infundibular septum', 'Subarterial ventricular septal defect', 'Double outlet right ventricle', 'Muscular ventricular septal defect', 'Gerbode ventricular septal defect', 'Transposition of the great arteries', 'Pulmonary valve atresia', 'double outlet right ventricle with subpulmonary ventricular septal defect', 'Non-restrictive ventricular septal defect', 'Ventricular septal defect', 'pulmonary atresia with ventricular septal defect', 'ventricular septal defect', 'Ventricular septal defect', 'double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis', 'pulmonary valve agenesis', 'Absence of the pulmonary valve', 'Restrictive ventricular septal defect', 'Absent left sided atrioventricular connection', 'subpulmonary stenosis', 'familial atrioventricular septal defect', 'Atrioventricular canal defect', 'Laubry-Pezzi syndrome', 'Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis', 'congenital Gerbode defect']"
Q211,Atrial septal defect,"['http://purl.obolibrary.org/obo/MONDO_0020438', 'http://purl.obolibrary.org/obo/HP_0011995', 'http://purl.obolibrary.org/obo/MONDO_0020436', 'http://purl.obolibrary.org/obo/HP_0011567', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/MONDO_0006839', 'http://purl.obolibrary.org/obo/HP_0011565', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/MONDO_0020290', 'http://purl.obolibrary.org/obo/HP_0006695', 'http://purl.obolibrary.org/obo/MONDO_0020437', 'http://purl.obolibrary.org/obo/HP_0001655', 'http://purl.obolibrary.org/obo/HP_0001684', 'http://purl.obolibrary.org/obo/MONDO_0006664', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/MONDO_0020398', 'http://purl.obolibrary.org/obo/HP_0011570', 'http://purl.obolibrary.org/obo/MONDO_0011166', 'http://purl.obolibrary.org/obo/HP_0011994']","['atrial septal aneurysm', 'Atrial septal dilatation', 'atrial septal defect, sinus venosus type', 'Sinus venosus atrial septal defect', 'Atrial septal defect', 'Ebstein anomaly of the tricuspid valve', 'Lutembacher syndrome', 'Common atrium', 'Atrial septal defect', 'familial atrioventricular septal defect', 'Atrioventricular canal defect', 'atrial septal defect, ostium primum type', 'Patent foramen ovale', 'Secundum atrial septal defect', 'atrial septal defect', 'Atrial septal defect', 'congenital mitral stenosis', 'Congenital mitral stenosis', 'lymphedema-atrial septal defects-facial changes syndrome', 'Abnormal atrial septum morphology']"
Q212,Atrioventricular septal defect,"['http://purl.obolibrary.org/obo/MONDO_0015273', 'http://purl.obolibrary.org/obo/MONDO_0020290', 'http://purl.obolibrary.org/obo/HP_0006695', 'http://purl.obolibrary.org/obo/HP_0001631', 'http://purl.obolibrary.org/obo/HP_0011565', 'http://purl.obolibrary.org/obo/MONDO_0020437', 'http://purl.obolibrary.org/obo/MONDO_0015275', 'http://purl.obolibrary.org/obo/HP_0011577', 'http://purl.obolibrary.org/obo/HP_0010445']","['complete atrioventricular canal', 'familial atrioventricular septal defect', 'Atrioventricular canal defect', 'Atrial septal defect', 'Common atrium', 'atrial septal defect, ostium primum type', 'partial atrioventricular canal', 'Partial atrioventricular canal defect', 'Primum atrial septal defect']"
Q213,Tetralogy of Fallot,"['http://purl.obolibrary.org/obo/HP_0011679', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/MONDO_0008343', 'http://purl.obolibrary.org/obo/HP_0011659', 'http://purl.obolibrary.org/obo/MONDO_0020064', 'http://purl.obolibrary.org/obo/HP_0005134', 'http://purl.obolibrary.org/obo/HP_0001510', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/HP_0010882', 'http://purl.obolibrary.org/obo/HP_0012516', 'http://purl.obolibrary.org/obo/MONDO_0018089', 'http://purl.obolibrary.org/obo/MONDO_0010999', 'http://purl.obolibrary.org/obo/MONDO_0800107', 'http://purl.obolibrary.org/obo/HP_0001667']","['Tetralogy of Fallot with pulmonary stenosis', 'tetralogy of fallot', 'Tetralogy of Fallot', 'pulmonary atresia with ventricular septal defect', 'Tetralogy of Fallot with absent pulmonary valve', 'pulmonary valve agenesis', 'Absence of the pulmonary valve', 'Growth delay', 'Overriding aorta', 'Pulmonary valve atresia', 'Tetralogy of Fallot with pulmonary atresia', 'double outlet right ventricle', 'fallot complex-intellectual disability-growth delay syndrome', 'anterior deviation infundibular septum', 'Right ventricular hypertrophy']"
Q214,Aortopulmonary septal defect,"['http://purl.obolibrary.org/obo/MONDO_0021902', 'http://purl.obolibrary.org/obo/HP_0011604', 'http://purl.obolibrary.org/obo/MONDO_0043576', 'http://purl.obolibrary.org/obo/MONDO_0006656']","['aortopulmonary window', 'Aortopulmonary window', 'endarteritis', 'aortitis']"
Q218,Other congenital malformations of cardiac septa,"['http://purl.obolibrary.org/obo/MONDO_0017152', 'http://purl.obolibrary.org/obo/MONDO_0019944', 'http://purl.obolibrary.org/obo/MONDO_0006839', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/MONDO_0020398', 'http://purl.obolibrary.org/obo/HP_0011570', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/HP_0001631']","['obsolete pulmonary arterial hypertension associated with congenital heart disease', 'Eisenmenger syndrome', 'Lutembacher syndrome', 'Overriding aorta', 'tetralogy of fallot', 'Tetralogy of Fallot', 'congenital mitral stenosis', 'Congenital mitral stenosis', 'Right ventricular hypertrophy', 'Atrial septal defect']"
Q219,"Congenital malformation of cardiac septum, unspecified","['http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/MONDO_0002078', 'http://purl.obolibrary.org/obo/HP_0001671', 'http://purl.obolibrary.org/obo/HP_0004935']","['Abnormal cardiac septum morphology', 'heart septal defect', 'Abnormal cardiac septum morphology', 'Pulmonary artery atresia']"
Q220,Pulmonary valve atresia,"['http://purl.obolibrary.org/obo/HP_0012516', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/MONDO_0020064', 'http://purl.obolibrary.org/obo/HP_0005134', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/MONDO_0008343', 'http://purl.obolibrary.org/obo/HP_0011659', 'http://purl.obolibrary.org/obo/HP_0010882', 'http://purl.obolibrary.org/obo/MONDO_0011827', 'http://purl.obolibrary.org/obo/HP_0001643', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/MONDO_0009931', 'http://purl.obolibrary.org/obo/HP_0010882']","['Tetralogy of Fallot with pulmonary atresia', 'Overriding aorta', 'pulmonary valve agenesis', 'Absence of the pulmonary valve', 'tetralogy of fallot', 'Tetralogy of Fallot', 'pulmonary atresia with ventricular septal defect', 'Tetralogy of Fallot with absent pulmonary valve', 'Pulmonary valve atresia', 'patent ductus arteriosus', 'Patent ductus arteriosus', 'Right ventricular hypertrophy', 'pulmonary atresia-intact ventricular septum syndrome', 'Pulmonary valve atresia']"
Q221,Congenital pulmonary valve stenosis,"['http://purl.obolibrary.org/obo/HP_0001719', 'http://purl.obolibrary.org/obo/MONDO_0008542', 'http://purl.obolibrary.org/obo/HP_0001636', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/HP_0011651', 'http://purl.obolibrary.org/obo/HP_0002623', 'http://purl.obolibrary.org/obo/MONDO_0020386', 'http://purl.obolibrary.org/obo/MONDO_0009939', 'http://purl.obolibrary.org/obo/HP_0011679']","['Double outlet right ventricle', 'tetralogy of fallot', 'Tetralogy of Fallot', 'Right ventricular hypertrophy', 'Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis', 'Overriding aorta', 'double outlet right ventricle with subaortic or doubly committed ventricular septal defect with pulmonary stenosis', 'pulmonic stenosis and congenital nephrosis', 'Tetralogy of Fallot with pulmonary stenosis']"
Q222,Congenital pulmonary valve insufficiency,['http://purl.obolibrary.org/obo/HP_0010444'],['Pulmonic regurgitation']
Q223,Other congenital malformations of pulmonary valve,"['http://purl.obolibrary.org/obo/HP_0005182', 'http://purl.obolibrary.org/obo/MONDO_0010753', 'http://purl.obolibrary.org/obo/HP_0001667', 'http://purl.obolibrary.org/obo/HP_0001641']","['Bicuspid pulmonary valve', 'cardiac valvular dysplasia, X-linked', 'Right ventricular hypertrophy', 'Abnormal pulmonary valve morphology']"
Q224,Congenital tricuspid stenosis,"['http://purl.obolibrary.org/obo/MONDO_0019813', 'http://purl.obolibrary.org/obo/MONDO_0011514', 'http://purl.obolibrary.org/obo/HP_0011662', 'http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011662', 'http://purl.obolibrary.org/obo/MONDO_0005997', 'http://purl.obolibrary.org/obo/HP_0010446', 'http://purl.obolibrary.org/obo/HP_0011548']","['congenital tricuspid stenosis', 'tricuspid atresia', 'Tricuspid atresia', 'Ebstein anomaly of the tricuspid valve', 'Tricuspid atresia', 'tricuspid valve stenosis', 'Tricuspid stenosis', 'Absent right sided atrioventricular connection']"
Q225,Ebstein's anomaly,"['http://purl.obolibrary.org/obo/HP_0010316', 'http://purl.obolibrary.org/obo/HP_0011553']","['Ebstein anomaly of the tricuspid valve', 'Discordant atrioventricular connection']"
Q226,Hypoplastic right heart syndrome,"['http://purl.obolibrary.org/obo/HP_0010954', 'http://purl.obolibrary.org/obo/MONDO_0020291', 'http://purl.obolibrary.org/obo/HP_0010954', 'http://purl.obolibrary.org/obo/MONDO_0010179']","['Hypoplastic right heart', 'hypoplastic right heart syndrome', 'Hypoplastic right heart', 'isolated right ventricular hypoplasia']"
Q228,Other congenital malformations of tricuspid valve,"['http://purl.obolibrary.org/obo/HP_0030719', 'http://purl.obolibrary.org/obo/MONDO_0002870', 'http://purl.obolibrary.org/obo/HP_0005180', 'http://purl.obolibrary.org/obo/MONDO_0800108', 'http://purl.obolibrary.org/obo/MONDO_0010753']","['Unguarded tricuspid valve', 'tricuspid valve insufficiency', 'Tricuspid regurgitation', 'cleft leaflet of tricuspid valve', 'cardiac valvular dysplasia, X-linked']"
Q230,Congenital stenosis of aortic valve,"['http://purl.obolibrary.org/obo/MONDO_0019808', 'http://purl.obolibrary.org/obo/HP_0010883', 'http://purl.obolibrary.org/obo/MONDO_0005463', 'http://purl.obolibrary.org/obo/HP_0004380', 'http://purl.obolibrary.org/obo/MONDO_0017735']","['aortic valve atresia', 'Aortic valve atresia', 'aortic valve calcification', 'Aortic valve calcification', 'congenital aortic valve stenosis']"
Q231,Congenital insufficiency of aortic valve,"['http://purl.obolibrary.org/obo/HP_0001647', 'http://purl.obolibrary.org/obo/MONDO_0019809', 'http://purl.obolibrary.org/obo/MONDO_0020427']","['Bicuspid aortic valve', 'congenital aortic valve insufficiency', 'Laubry-Pezzi syndrome']"
Q232,Congenital mitral stenosis,"['http://purl.obolibrary.org/obo/MONDO_0015249', 'http://purl.obolibrary.org/obo/HP_0011560', 'http://purl.obolibrary.org/obo/MONDO_0020398', 'http://purl.obolibrary.org/obo/HP_0011570', 'http://purl.obolibrary.org/obo/HP_0011571']","['mitral atresia disorder', 'Mitral atresia', 'congenital mitral stenosis', 'Congenital mitral stenosis', 'Parachute mitral valve']"
Q233,Congenital mitral insufficiency,['http://purl.obolibrary.org/obo/MONDO_0001298'],['congenital mitral valve insufficiency']
Q234,Hypoplastic left heart syndrome,"['http://purl.obolibrary.org/obo/MONDO_0004933', 'http://purl.obolibrary.org/obo/HP_0004383']","['hypoplastic left heart syndrome', 'Hypoplastic left heart']"
Q238,Other congenital malformations of aortic and mitral valves,"['http://purl.obolibrary.org/obo/MONDO_0020404', 'http://purl.obolibrary.org/obo/HP_0011571', 'http://purl.obolibrary.org/obo/MONDO_0019819', 'http://purl.obolibrary.org/obo/HP_0011568', 'http://purl.obolibrary.org/obo/HP_0012561', 'http://purl.obolibrary.org/obo/MONDO_0015097', 'http://purl.obolibrary.org/obo/MONDO_0020399', 'http://purl.obolibrary.org/obo/MONDO_0010753', 'http://purl.obolibrary.org/obo/HP_0004764']","['shone complex', 'Parachute mitral valve', 'double-orifice mitral valve', 'Double orifice mitral valve', 'Unicuspid aortic valve', 'aortic valve dysplasia', 'congenital hypoplasia of the mitral valve annulus', 'cardiac valvular dysplasia, X-linked', 'Myxomatous mitral valve degeneration']"
Q239,"Congenital malformation of aortic and mitral valves, unspecified","['http://purl.obolibrary.org/obo/HP_0001646', 'http://purl.obolibrary.org/obo/MONDO_0042966']","['Abnormal aortic valve morphology', 'inherited mitral valve disease']"
Q240,Dextrocardia,"['http://purl.obolibrary.org/obo/MONDO_0008499', 'http://purl.obolibrary.org/obo/MONDO_0015661', 'http://purl.obolibrary.org/obo/HP_0001651', 'http://purl.obolibrary.org/obo/MONDO_0008741']","['short stature-wormian bones-dextrocardia syndrome', 'dextrocardia', 'Dextrocardia', 'PAGOD syndrome']"
Q241,Levocardia,"['http://purl.obolibrary.org/obo/HP_0003363', 'http://purl.obolibrary.org/obo/MONDO_0019862']","['Abdominal situs inversus', 'levocardia']"
Q242,Cor triatriatum,"['http://purl.obolibrary.org/obo/MONDO_0020430', 'http://purl.obolibrary.org/obo/MONDO_0015450', 'http://purl.obolibrary.org/obo/MONDO_0020429', 'http://purl.obolibrary.org/obo/HP_0011566', 'http://purl.obolibrary.org/obo/HP_0011565']","['cor triatriatum sinister', 'triatrial heart', 'cor triatriatum dexter', 'Cor triatriatum dexter', 'Common atrium']"
Q243,Pulmonary infundibular stenosis,['http://purl.obolibrary.org/obo/MONDO_0006935'],['pulmonary subvalvular stenosis']
Q244,Congenital subaortic stenosis,"['http://purl.obolibrary.org/obo/HP_0011571', 'http://purl.obolibrary.org/obo/MONDO_0006987', 'http://purl.obolibrary.org/obo/HP_0001682', 'http://purl.obolibrary.org/obo/MONDO_0020404']","['Parachute mitral valve', 'subvalvular aortic stenosis', 'Subvalvular aortic stenosis', 'shone complex']"
Q245,Malformation of coronary vessels,"['http://purl.obolibrary.org/obo/MONDO_0006715', 'http://purl.obolibrary.org/obo/HP_0005145', 'http://purl.obolibrary.org/obo/HP_0001717', 'http://purl.obolibrary.org/obo/MONDO_0001389', 'http://purl.obolibrary.org/obo/HP_0006704', 'http://purl.obolibrary.org/obo/HP_0011638', 'http://purl.obolibrary.org/obo/HP_0011686', 'http://purl.obolibrary.org/obo/HP_0011641', 'http://purl.obolibrary.org/obo/MONDO_0020435', 'http://purl.obolibrary.org/obo/HP_0004934', 'http://purl.obolibrary.org/obo/HP_0011642', 'http://purl.obolibrary.org/obo/MONDO_0019825', 'http://purl.obolibrary.org/obo/HP_0011639', 'http://purl.obolibrary.org/obo/MONDO_0006714', 'http://purl.obolibrary.org/obo/HP_0100545', 'http://purl.obolibrary.org/obo/HP_0011644']","['coronary stenosis', 'Coronary artery stenosis', 'Coronary artery calcification', 'congenital coronary artery anomaly', 'Abnormal coronary artery morphology', 'Anomalous origin of left coronary artery from the pulmonary artery', 'Abnormal coronary artery course', 'Coronary artery fistula', 'atrial septal defect, coronary sinus type', 'Vascular calcification', 'Abnormal coronary sinus morphology', 'congenital coronary artery aneurysm', 'Anomalous origin of right coronary artery from the pulmonary artery', 'coronary aneurysm', 'Arterial stenosis', 'Coronary sinus diverticulum']"
